Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780348907,768174592708,1.1971009,4.0701427,8.935161
android.sensor.accelerometer,1524780348927,768194581770,1.1875241,4.050989,8.954314
android.sensor.accelerometer,1524780348947,768214573958,1.1109096,4.050989,9.069236
android.sensor.accelerometer,1524780348967,768234597395,0.9576807,4.0701427,8.90643
android.sensor.accelerometer,1524780348987,768254586458,0.9768343,4.0222588,9.021352
android.sensor.accelerometer,1524780349007,768274578645,1.1971009,4.012682,9.078813
android.sensor.accelerometer,1524780349027,768294600520,1.1587936,4.0222588,9.059659
android.sensor.accelerometer,1524780349047,768314591145,1.1779473,4.0318356,8.848969
android.sensor.accelerometer,1524780349067,768334581770,1.1300632,4.060566,8.925584
android.sensor.accelerometer,1524780349087,768354603645,1.0726024,4.0892963,8.983045
android.sensor.accelerometer,1524780349107,768374595833,1.1492168,4.0318356,8.963891
android.sensor.accelerometer,1524780349127,768394586458,1.1109096,4.0797195,8.935161
android.sensor.accelerometer,1524780349148,768414577083,1.0821792,4.0414124,9.030929
android.sensor.accelerometer,1524780349167,768434600520,1.0726024,4.060566,9.040505
android.sensor.accelerometer,1524780349188,768454589583,0.9864111,4.050989,8.944737
android.sensor.accelerometer,1524780349207,768474581770,0.94810385,4.050989,8.925584
android.sensor.accelerometer,1524780349228,768494603645,1.091756,4.060566,8.935161
android.sensor.accelerometer,1524780349248,768514594270,1.1683705,4.0414124,9.050082
android.sensor.accelerometer,1524780349268,768534584895,1.2066777,4.0414124,8.896853
android.sensor.accelerometer,1524780349287,768554575520,1.1492168,4.0797195,8.820239
android.sensor.accelerometer,1524780349308,768574598958,1.1013328,4.0797195,8.983045
android.sensor.accelerometer,1524780349327,768594589583,1.2066777,4.060566,8.992621
android.sensor.accelerometer,1524780349348,768614580208,1.1204864,4.0414124,9.030929
android.sensor.accelerometer,1524780349367,768634602083,1.0055647,4.012682,8.992621
android.sensor.accelerometer,1524780349387,768654592708,1.043872,4.060566,8.858546
android.sensor.accelerometer,1524780349407,768674583333,1.1013328,4.0701427,9.002198
android.sensor.accelerometer,1524780349427,768694575520,1.1109096,4.098873,9.050082
android.sensor.accelerometer,1524780349447,768714597395,1.091756,4.0797195,8.992621
android.sensor.accelerometer,1524780349468,768734588020,1.1013328,4.0222588,8.896853
android.sensor.accelerometer,1524780349487,768754578645,1.1013328,4.0414124,9.011775
android.sensor.accelerometer,1524780349508,768774602083,1.0726024,4.0318356,8.935161
android.sensor.accelerometer,1524780349527,768794592708,1.091756,4.050989,8.90643
android.sensor.accelerometer,1524780349547,768814583333,1.13964,4.050989,8.8777
android.sensor.accelerometer,1524780349567,768834573958,1.1971009,4.0414124,9.030929
android.sensor.accelerometer,1524780349588,768854595833,1.1683705,4.050989,9.184157
android.sensor.accelerometer,1524780349607,768874586458,1.0726024,4.060566,9.040505
android.sensor.accelerometer,1524780349627,768894578645,0.9768343,4.0701427,8.858546
android.sensor.accelerometer,1524780349647,768914600520,1.0151415,4.060566,8.810662
android.sensor.accelerometer,1524780349668,768934591145,1.1971009,4.0797195,9.011775
android.sensor.accelerometer,1524780349687,768954581770,1.1875241,4.0701427,9.11712
android.sensor.accelerometer,1524780349707,768974573958,1.0151415,4.0222588,8.954314
android.sensor.accelerometer,1524780349728,768994595833,1.0630256,4.012682,8.791509
android.sensor.accelerometer,1524780349748,769014586458,1.1683705,4.0701427,8.925584
android.sensor.accelerometer,1524780349767,769034577083,1.1875241,4.050989,9.097966
android.sensor.accelerometer,1524780349788,769054598958,1.0821792,4.050989,8.925584
android.sensor.accelerometer,1524780349807,769074591145,1.0151415,4.0414124,9.002198
android.sensor.accelerometer,1524780349827,769094581770,1.1204864,4.012682,9.059659
android.sensor.accelerometer,1524780349847,769114603645,1.1779473,3.9935284,9.097966
android.sensor.accelerometer,1524780349867,769134594270,1.1204864,3.9935284,9.097966
android.sensor.accelerometer,1524780349887,769154584895,1.091756,4.0318356,8.887277
android.sensor.accelerometer,1524780349908,769174575520,1.0630256,4.060566,8.820239
android.sensor.accelerometer,1524780349927,769194598958,1.0342951,4.0701427,8.896853
android.sensor.accelerometer,1524780349948,769214589583,1.1300632,4.060566,9.155427
