Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780143522,562774602083,-1.0247183,8.236053,2.9783869
android.sensor.accelerometer,1524780143529,562794594270,-0.35434186,8.475474,3.7253778
android.sensor.accelerometer,1524780143547,562814584895,0.05746084,8.7053175,3.3135753
android.sensor.accelerometer,1524780143567,562834577083,-0.33518824,8.695741,2.2888567
android.sensor.accelerometer,1524780143587,562854598958,-0.63206923,8.580819,2.3463178
android.sensor.accelerometer,1524780143607,562874588020,-0.641646,8.523358,2.8443117
android.sensor.accelerometer,1524780143627,562894580208,-0.5363012,8.590396,2.6719291
android.sensor.accelerometer,1524780143647,562914602083,-0.5267244,8.571242,2.719813
android.sensor.accelerometer,1524780143667,562934592708,-0.17238252,8.475474,2.3558946
android.sensor.accelerometer,1524780143687,562954583333,-0.47884035,8.312668,1.8962077
android.sensor.accelerometer,1524780143707,562974575520,-1.7142484,8.647857,3.7445314
android.sensor.accelerometer,1524780143727,562994597395,-1.7525556,8.829816,4.4723687
android.sensor.accelerometer,1524780143747,563014588020,-0.6607997,8.552089,3.4476504
android.sensor.accelerometer,1524780143767,563034578645,0.1340753,8.8777,1.2354081
android.sensor.accelerometer,1524780143787,563054600520,-2.4612393,9.528923,1.4077905
android.sensor.accelerometer,1524780143807,563074592708,-2.681506,8.66701,3.8115692
android.sensor.accelerometer,1524780143827,563094583333,-1.4748282,8.7053175,4.5298295
android.sensor.accelerometer,1524780143847,563114573958,-1.2449849,9.452309,3.6008794
android.sensor.accelerometer,1524780143867,563134595833,-1.0821792,9.241618,2.3175871
android.sensor.accelerometer,1524780143887,563154586458,-1.4173675,9.346964,2.4133554
android.sensor.accelerometer,1524780143907,563174578645,-0.9576807,9.768343,2.777274
android.sensor.accelerometer,1524780143927,563194600520,-0.31603462,9.56723,2.2505496
android.sensor.accelerometer,1524780143947,563214591145,-1.2066777,9.548077,1.1300632
android.sensor.accelerometer,1524780143967,563234581770,-1.685518,10.132261,2.8921957
android.sensor.accelerometer,1524780143987,563254605208,0.25857377,9.911995,3.8881836
android.sensor.accelerometer,1524780144007,563274595833,1.0726024,9.921572,2.5761611
android.sensor.accelerometer,1524780144027,563294584895,-0.009576807,10.572795,2.633622
android.sensor.accelerometer,1524780144047,563314577083,-1.1013328,10.199299,3.3135753
android.sensor.accelerometer,1524780144067,563334598958,-0.63206923,9.854534,3.8115692
android.sensor.accelerometer,1524780144087,563354589583,-0.34476504,10.448297,4.2521024
