Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780165194,584454588020,1.020459,0.21216223,-1.2001756
android.sensor.gyroscope,1524780165207,584474578645,0.99838066,0.7976678,-0.94982564
android.sensor.gyroscope,1524780165227,584494600520,0.9719215,1.629422,-0.6738542
android.sensor.gyroscope,1524780165247,584514592708,0.9233839,2.4281893,-0.41341615
android.sensor.gyroscope,1524780165267,584534583333,0.8118399,3.107227,-0.17533578
android.sensor.gyroscope,1524780165287,584554573958,0.6441312,3.3521142,-0.022357667
android.sensor.gyroscope,1524780165307,584574595833,0.5339486,3.3240318,0.061627574
android.sensor.gyroscope,1524780165327,584594586458,0.44450045,3.2193122,0.12543681
android.sensor.gyroscope,1524780165347,584614578645,0.35615188,2.9575129,0.15844099
android.sensor.gyroscope,1524780165367,584634600520,0.2912431,2.783521,0.20015436
android.sensor.gyroscope,1524780165387,584654591145,0.25197318,2.6907916,0.23670155
android.sensor.gyroscope,1524780165407,584674581770,0.20587903,2.5050886,0.2647839
android.sensor.gyroscope,1524780165428,584694573958,0.15707964,2.2154686,0.27707103
android.sensor.gyroscope,1524780165447,584714594270,0.12625712,1.8775903,0.28579766
android.sensor.gyroscope,1524780165467,584734586458,0.10498156,1.5456985,0.28906143
android.sensor.gyroscope,1524780165487,584754577083,0.084264494,1.3220869,0.2986084
android.sensor.gyroscope,1524780165507,584774600520,0.0659909,1.2468108,0.31688198
android.sensor.gyroscope,1524780165527,584794591145,0.053983033,1.2997118,0.33759904
android.sensor.gyroscope,1524780165547,584814581770,0.044715334,1.3981658,0.3645993
android.sensor.gyroscope,1524780165567,584834603645,0.02480113,1.405793,0.37414622
android.sensor.gyroscope,1524780165587,584854594270,0.025900686,1.4748032,0.39296088
android.sensor.gyroscope,1524780165607,584874584895,0.025080381,1.5315264,0.40905282
android.sensor.gyroscope,1524780165627,584894577083,-0.010349803,1.5069696,0.4063301
android.sensor.gyroscope,1524780165647,584914598958,-0.17807594,1.9373155,0.3706032
android.sensor.gyroscope,1524780165668,584934588020,-0.37468728,2.1576633,0.30351275
android.sensor.gyroscope,1524780165687,584954580208,-0.53014374,2.1985564,0.2361605
android.sensor.gyroscope,1524780165707,584974603645,-0.6986728,2.2604632,0.15707964
android.sensor.gyroscope,1524780165727,584994594270,-0.8535707,2.2195528,0.08152433
android.sensor.gyroscope,1524780165747,585014584895,-1.0030059,2.0894732,0.016353736
android.sensor.gyroscope,1524780165767,585034575520,-1.1216358,1.9067723,-0.029164452
android.sensor.gyroscope,1524780165787,585054597395,-1.2438089,1.6286017,-0.06735226
android.sensor.gyroscope,1524780165807,585074588020,-1.3643414,1.3288937,-0.08180358
