Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780323249,742514597395,-0.23588125,0.23834217,-0.15652113
android.sensor.gyroscope,1524780323267,742534589583,-0.18380062,0.15515977,-0.12543681
android.sensor.gyroscope,1524780323287,742554580208,-0.11698942,0.02698279,-0.08370599
android.sensor.gyroscope,1524780323307,742574602083,-0.038711403,-0.13226105,-0.030264009
android.sensor.gyroscope,1524780323327,742594594270,0.03981096,-0.32696998,0.023177972
android.sensor.gyroscope,1524780323347,742614583333,0.11016518,-0.4614127,0.06352998
android.sensor.gyroscope,1524780323367,742634575520,0.1630661,-0.5380501,0.08726646
android.sensor.gyroscope,1524780323387,742654597395,0.20507619,-0.60730475,0.10716321
android.sensor.gyroscope,1524780323407,742674588020,0.208881,-0.5983163,0.10143854
android.sensor.gyroscope,1524780323427,742694578645,0.22088887,-0.6263987,0.11180579
android.sensor.gyroscope,1524780323448,742714602083,0.22579324,-0.62531656,0.10716321
android.sensor.gyroscope,1524780323468,742734592708,0.23179717,-0.60540235,0.09871582
android.sensor.gyroscope,1524780323487,742754583333,0.23015657,-0.5715953,0.08888962
android.sensor.gyroscope,1524780323507,742774573958,0.21516418,-0.54949945,0.07661995
android.sensor.gyroscope,1524780323527,742794595833,0.19825195,-0.5505816,0.07199483
android.sensor.gyroscope,1524780323547,742814586458,0.18161896,-0.5704958,0.08480555
android.sensor.gyroscope,1524780323567,742834578645,0.14152876,-0.51731557,0.0752586
android.sensor.gyroscope,1524780323587,742854600520,0.11152654,-0.46767843,0.0662527
android.sensor.gyroscope,1524780323607,742874591145,-0.20479694,0.10197959,-0.07689921
android.sensor.gyroscope,1524780323627,742894581770,-0.83747876,1.2792566,-0.38097048
android.sensor.gyroscope,1524780323647,742914573958,-1.434713,2.5694387,-0.6806784
android.sensor.gyroscope,1524780323667,742934595833,-1.9280303,3.8198102,-0.8611978
android.sensor.gyroscope,1524780323687,742954586458,-2.19257,4.8861017,-0.8170235
android.sensor.gyroscope,1524780323707,742974577083,-2.22992,5.656228,-0.48569024
android.sensor.gyroscope,1524780323727,742994598958,-2.1516593,6.123924,0.036808994
android.sensor.gyroscope,1524780323747,743014591145,-2.12712,6.529975,0.6948505
android.sensor.gyroscope,1524780323767,743034581770,-2.1892886,6.952397,1.7229542
android.sensor.gyroscope,1524780323787,743054603645,-2.1202958,6.83813,3.1421337
android.sensor.gyroscope,1524780323807,743074594270,-1.8655825,6.1190023,4.4860373
android.sensor.gyroscope,1524780323827,743094584895,-1.7049598,5.3453326,5.4061575
android.sensor.gyroscope,1524780323847,743114575520,-1.6425118,4.6720195,5.866488
android.sensor.gyroscope,1524780323868,743134598958,-1.4085331,3.7909074,6.1225452
android.sensor.gyroscope,1524780323888,743154588020,-1.1224562,2.9130592,6.177907
