Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780226787,646054603645,7.1251445,4.5202527,4.6926355
android.sensor.accelerometer,1524780226807,646074594270,7.431602,4.6255975,4.510676
android.sensor.accelerometer,1524780226827,646094584895,7.4028716,4.5202527,5.209783
android.sensor.accelerometer,1524780226847,646114575520,7.2592196,4.4244847,5.9759274
android.sensor.accelerometer,1524780226867,646134598958,7.3071036,4.4723687,5.6215854
android.sensor.accelerometer,1524780226887,646154589583,7.489063,4.5202527,5.0757074
android.sensor.accelerometer,1524780226907,646174580208,7.4124484,4.510676,5.085284
android.sensor.accelerometer,1524780226927,646194602083,7.297527,4.510676,5.2289367
android.sensor.accelerometer,1524780226947,646214594270,7.249643,4.4915223,5.056554
android.sensor.accelerometer,1524780226967,646234584895,7.3645644,4.4819455,4.6351743
android.sensor.accelerometer,1524780226987,646254575520,7.5082164,4.4723687,4.644751
android.sensor.accelerometer,1524780227007,646274597395,7.6710224,4.4915223,4.76925
android.sensor.accelerometer,1524780227027,646294588020,7.575254,4.5681367,4.271256
android.sensor.accelerometer,1524780227047,646314578645,7.2687964,4.4819455,4.1371803
android.sensor.accelerometer,1524780227067,646334602083,7.3645644,4.4244847,4.0414124
android.sensor.accelerometer,1524780227087,646354592708,7.0006456,4.2521024,4.0414124
android.sensor.accelerometer,1524780227107,646374583333,6.0238113,4.003105,3.514688
android.sensor.accelerometer,1524780227127,646394573958,5.2480903,3.217807,2.9783869
android.sensor.accelerometer,1524780227147,646414595833,6.5984197,3.6870706,2.5378537
android.sensor.accelerometer,1524780227167,646434586458,5.851429,3.2752678,1.0247183
android.sensor.accelerometer,1524780227187,646454578645,5.353435,5.7843914,-2.1452048
android.sensor.accelerometer,1524780227207,646474600520,5.90889,6.3781533,-8.647857
android.sensor.accelerometer,1524780227227,646494591145,7.4603324,5.3438582,-6.9240313
android.sensor.accelerometer,1524780227247,646514581770,7.4603324,4.55856,1.0534488
android.sensor.accelerometer,1524780227267,646534573958,6.981492,4.10845,3.064578
android.sensor.accelerometer,1524780227287,646554595833,6.9048777,3.7828386,2.1068976
android.sensor.accelerometer,1524780227307,646574586458,7.5082164,2.4995465,4.8745947
android.sensor.accelerometer,1524780227327,646594577083,10.208876,1.532289,11.415554
android.sensor.accelerometer,1524780227347,646614598958,13.589489,1.436521,14.997279
android.sensor.accelerometer,1524780227367,646634591145,15.303738,0.31603462,16.596605
android.sensor.accelerometer,1524780227387,646654581770,17.314867,-1.7621324,17.372328
android.sensor.accelerometer,1524780227407,646674603645,19.871874,-4.367024,14.652514
android.sensor.accelerometer,1524780227427,646694594270,21.317972,-7.4603324,12.785037
android.sensor.accelerometer,1524780227447,646714584895,22.725763,-11.81778,16.376339
android.sensor.accelerometer,1524780227467,646734577083,25.742456,-16.548721,20.781672
android.sensor.accelerometer,1524780227487,646754598958,30.023289,-20.676327,22.07454
android.sensor.accelerometer,1524780227507,646774589583,34.035973,-25.589228,21.576546
android.sensor.accelerometer,1524780227527,646794580208,40.77804,-29.525295,17.946936
android.sensor.accelerometer,1524780227547,646814602083,46.409206,-33.73909,14.518439
android.sensor.accelerometer,1524780227567,646834592708,51.58068,-37.531506,-0.50757074
android.sensor.accelerometer,1524780227587,646854584895,53.8025,-38.489185,-14.221559
android.sensor.accelerometer,1524780227607,646874575520,54.70272,-39.53306,-19.191921
android.sensor.accelerometer,1524780227627,646894597395,43.057323,-38.26892,-22.965183
android.sensor.accelerometer,1524780227647,646914588020,27.696125,-32.417492,-26.585217
android.sensor.accelerometer,1524780227667,646934578645,21.62443,-25.991453,-29.439104
android.sensor.accelerometer,1524780227687,646954602083,15.773001,-20.772095,-26.039337
android.sensor.accelerometer,1524780227707,646974592708,8.7532015,-16.357185,-22.31396
android.sensor.accelerometer,1524780227727,646994583333,5.209783,-12.5743475,-19.574993
android.sensor.accelerometer,1524780227747,647014573958,3.1316159,-9.921572,-18.215086
android.sensor.accelerometer,1524780227767,647034597395,2.1643584,-7.881712,-15.773001
android.sensor.accelerometer,1524780227787,647054588020,2.0973208,-7.086837,-12.516887
android.sensor.accelerometer,1524780227807,647074578645,0.6799533,-6.83784,-10.199299
android.sensor.accelerometer,1524780227827,647094600520,-1.3790601,-6.7324953,-8.1402855
android.sensor.accelerometer,1524780227847,647114591145,-2.6910827,-6.2345014,-7.3166804
android.sensor.accelerometer,1524780227867,647134581770,-3.41892,-5.899313,-8.6574335
android.sensor.accelerometer,1524780227887,647154573958,-5.602432,-5.171476,-10.093954
android.sensor.accelerometer,1524780227907,647174595833,-7.441179,-4.548983,-11.386824
android.sensor.accelerometer,1524780227927,647194586458,-7.479486,-3.9935284,-12.26789
android.sensor.accelerometer,1524780227947,647214578645,-7.4986396,-3.7349546,-11.674128
android.sensor.accelerometer,1524780227967,647234600520,-8.39886,-3.2082303,-10.67814
android.sensor.accelerometer,1524780227987,647254591145,-7.929596,-2.480393,-10.419566
android.sensor.accelerometer,1524780228007,647274581770,-7.97748,-1.5705963,-10.43872
android.sensor.accelerometer,1524780228027,647294603645,-7.920019,-0.45010993,-9.797073
android.sensor.accelerometer,1524780228047,647314594270,-7.6231384,0.58418524,-9.232041
android.sensor.accelerometer,1524780228067,647334584895,-7.6135616,1.685518,-8.973468
android.sensor.accelerometer,1524780228087,647354575520,-7.1059904,2.2026656,-9.950302
android.sensor.accelerometer,1524780228107,647374598958,-5.544971,2.528277,-9.873688
android.sensor.accelerometer,1524780228127,647394589583,-4.367024,3.620033,-8.801085
android.sensor.accelerometer,1524780228147,647414581770,-3.2369606,4.405331,-8.283937
android.sensor.accelerometer,1524780228167,647434603645,-1.1492168,5.094861,-7.4028716
android.sensor.accelerometer,1524780228187,647454594270,-0.24899697,5.9280434,-6.981492
android.sensor.accelerometer,1524780228207,647474584895,-0.7661445,6.7133417,-6.435614
android.sensor.accelerometer,1524780228227,647494575520,-0.2873042,6.7229185,-4.414908
android.sensor.accelerometer,1524780228247,647514597395,1.5897499,6.9623384,-1.1971009
android.sensor.accelerometer,1524780228267,647534588020,1.4269443,8.561666,0.46926352
android.sensor.accelerometer,1524780228287,647554580208,0.35434186,9.385271,-1.0342951
android.sensor.accelerometer,1524780228307,647574602083,1.5131354,9.730036,-0.02873042
android.sensor.accelerometer,1524780228327,647594592708,1.1779473,9.902418,1.7812861
android.sensor.accelerometer,1524780228347,647614583333,-0.5267244,10.055647,2.825158
android.sensor.accelerometer,1524780228367,647634575520,-1.3503298,10.25676,3.3518825
