Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780226787,646054603645,-0.07361799,-0.0935322,-0.03190462
android.sensor.gyroscope,1524780226807,646074594270,-0.07716101,-0.08316494,-0.031625368
android.sensor.gyroscope,1524780226827,646094584895,-0.07335619,-0.07798131,-0.029164452
android.sensor.gyroscope,1524780226847,646114575520,-0.09025098,-0.08888962,-0.029443704
android.sensor.gyroscope,1524780226867,646134598958,-0.102538094,-0.09080948,-0.032986723
android.sensor.gyroscope,1524780226887,646154589583,-0.10770427,-0.09025098,-0.040893063
android.sensor.gyroscope,1524780226907,646174580208,-0.13308136,-0.103620194,-0.061348323
android.sensor.gyroscope,1524780226927,646194602083,-0.15407766,-0.10908308,-0.06653195
android.sensor.gyroscope,1524780226947,646214594270,-0.17561503,-0.11534881,-0.071174525
android.sensor.gyroscope,1524780226967,646234584895,-0.15870279,-0.092170835,-0.056164697
android.sensor.gyroscope,1524780226987,646254575520,-0.16334537,-0.08806931,-0.049619712
android.sensor.gyroscope,1524780227007,646274597395,-0.17507398,-0.10007718,-0.06270968
android.sensor.gyroscope,1524780227027,646294588020,-0.19088666,-0.12079424,-0.07716101
android.sensor.gyroscope,1524780227047,646314578645,-0.21024236,-0.14617133,-0.08998918
android.sensor.gyroscope,1524780227067,646334602083,-0.16470672,-0.114807755,-0.06489134
android.sensor.gyroscope,1524780227087,646354592708,-0.16170475,-0.11616912,-0.061086524
android.sensor.gyroscope,1524780227107,646374583333,-0.16688839,-0.13526301,-0.07853982
android.sensor.gyroscope,1524780227127,646394573958,-0.19907226,-0.17725565,-0.11206759
android.sensor.gyroscope,1524780227147,646414595833,-0.23588125,-0.23069762,-0.13852678
android.sensor.gyroscope,1524780227167,646434586458,-0.27979374,-0.31660274,-0.17289232
android.sensor.gyroscope,1524780227187,646454578645,-0.22088887,-0.330513,-0.14589207
android.sensor.gyroscope,1524780227207,646474600520,-0.26724482,-0.49305552,-0.2609791
android.sensor.gyroscope,1524780227227,646494591145,-1.2168087,-1.5028856,-0.9465619
android.sensor.gyroscope,1524780227247,646514581770,-1.3340774,-1.718329,-0.99728113
android.sensor.gyroscope,1524780227268,646534573958,-0.78812087,-1.3316164,-0.6883055
android.sensor.gyroscope,1524780227287,646554595833,-0.35096827,-1.0256428,-0.44668213
android.sensor.gyroscope,1524780227307,646574586458,0.04171337,-0.74748963,-0.22961551
android.sensor.gyroscope,1524780227327,646594577083,0.64303166,-0.26806512,0.10798352
android.sensor.gyroscope,1524780227347,646614598958,1.2547172,0.28143433,0.55440384
android.sensor.gyroscope,1524780227367,646634591145,1.7668666,0.9037489,1.181361
android.sensor.gyroscope,1524780227387,646654581770,1.8718656,1.1598237,1.5015242
android.sensor.gyroscope,1524780227408,646674603645,1.6716938,1.1336437,1.6616058
android.sensor.gyroscope,1524780227427,646694594270,1.3245304,0.9421985,1.7415069
android.sensor.gyroscope,1524780227447,646714584895,0.98611104,0.78211695,1.844045
android.sensor.gyroscope,1524780227467,646734577083,0.67467445,0.7049385,2.0144765
android.sensor.gyroscope,1524780227487,646754598958,0.37987092,0.6468539,2.1958337
android.sensor.gyroscope,1524780227507,646774589583,0.08998918,0.5533217,2.3338194
android.sensor.gyroscope,1524780227527,646794580208,-0.18898425,0.41805872,2.4311738
android.sensor.gyroscope,1524780227548,646814602083,-0.44724062,0.23860396,2.458174
android.sensor.gyroscope,1524780227567,646834592708,-0.73357934,2.6179937E-4,2.4216442
android.sensor.gyroscope,1524780227587,646854584895,-1.0725572,-0.3220656,2.3117409
android.sensor.gyroscope,1524780227607,646874575520,-1.3651617,-0.5983163,2.187648
android.sensor.gyroscope,1524780227627,646894597395,-1.5904313,-0.8001113,2.0837486
android.sensor.gyroscope,1524780227647,646914588020,-1.7224131,-0.91083497,2.0155761
android.sensor.gyroscope,1524780227667,646934578645,-1.8107791,-1.0013827,1.9487648
android.sensor.gyroscope,1524780227687,646954602083,-1.8039548,-1.0180156,1.8811333
android.sensor.gyroscope,1524780227707,646974592708,-1.6845045,-1.0024648,1.8344982
android.sensor.gyroscope,1524780227727,646994583333,-1.4720631,-1.0523638,1.8036757
android.sensor.gyroscope,1524780227747,647014573958,-1.2675453,-1.1298214,1.761683
android.sensor.gyroscope,1524780227767,647034597395,-1.0938153,-1.1830016,1.7019578
android.sensor.gyroscope,1524780227787,647054588020,-0.93237233,-1.2200899,1.6283224
android.sensor.gyroscope,1524780227807,647074578645,-0.7229328,-1.3081766,1.563431
android.sensor.gyroscope,1524780227827,647094600520,-0.44914302,-1.4739829,1.5236026
android.sensor.gyroscope,1524780227847,647114591145,-0.23261748,-1.6272403,1.488696
android.sensor.gyroscope,1524780227867,647134581770,-0.08480555,-1.7734116,1.4401585
android.sensor.gyroscope,1524780227887,647154573958,0.15734144,-1.9973024,1.3801714
android.sensor.gyroscope,1524780227907,647174595833,0.5042256,-2.308739,1.2969891
android.sensor.gyroscope,1524780227927,647194586458,0.74338806,-2.595357,1.1802789
android.sensor.gyroscope,1524780227947,647214578645,0.924466,-2.9073346,1.0141934
android.sensor.gyroscope,1524780227967,647234600520,1.1150908,-3.2972934,0.7943866
android.sensor.gyroscope,1524780227987,647254591145,1.1928104,-3.6370916,0.5530425
android.sensor.gyroscope,1524780228007,647274581770,1.1655483,-3.9438856,0.30815533
android.sensor.gyroscope,1524780228027,647294603645,1.0223789,-4.2204156,0.080721475
android.sensor.gyroscope,1524780228047,647314594270,0.769027,-4.4325776,-0.07716101
android.sensor.gyroscope,1524780228067,647334584895,0.4641354,-4.5869346,-0.1338842
android.sensor.gyroscope,1524780228087,647354575520,0.053441983,-4.7186546,-0.061627574
android.sensor.gyroscope,1524780228107,647374598958,-0.46549675,-4.780823,0.14889404
android.sensor.gyroscope,1524780228127,647394589583,-0.92964965,-4.6753006,0.37088245
android.sensor.gyroscope,1524780228147,647414581770,-1.2757136,-4.4983068,0.631303
android.sensor.gyroscope,1524780228167,647434603645,-1.5456985,-4.28042,0.9520073
android.sensor.gyroscope,1524780228187,647454594270,-1.7534974,-3.9987063,1.2225333
android.sensor.gyroscope,1524780228207,647474584895,-1.8936822,-3.6919124,1.4728833
android.sensor.gyroscope,1524780228227,647494575520,-1.985312,-3.3979292,1.708241
android.sensor.gyroscope,1524780228247,647514597395,-2.0243027,-3.1331277,1.8653207
android.sensor.gyroscope,1524780228267,647534588020,-2.02158,-2.8200681,2.3169246
android.sensor.gyroscope,1524780228287,647554580208,-2.035211,-2.5817084,2.722155
android.sensor.gyroscope,1524780228307,647574602083,-2.0932956,-2.3627396,2.9596944
android.sensor.gyroscope,1524780228327,647594592708,-2.1745582,-2.1745582,3.1276824
android.sensor.gyroscope,1524780228347,647614583333,-2.2449298,-2.0657542,3.2981138
android.sensor.gyroscope,1524780228367,647634575520,-2.3373623,-2.0376718,3.416482
android.sensor.gyroscope,1524780228387,647654597395,-2.4633577,-2.0324883,3.526647
android.sensor.gyroscope,1524780228407,647674588020,-2.5849898,-2.0922134,3.6870081
android.sensor.gyroscope,1524780228427,647694578645,-2.7390673,-2.1293018,3.7633662
android.sensor.gyroscope,1524780228447,647714600520,-2.9444227,-2.1031218,3.7104478
android.sensor.gyroscope,1524780228467,647734592708,-3.1031256,-2.1494777,3.6940942
android.sensor.gyroscope,1524780228487,647754583333,-3.1816654,-2.2353828,3.7085454
android.sensor.gyroscope,1524780228507,647774573958,-3.259664,-2.230461,3.6229196
android.sensor.gyroscope,1524780228527,647794595833,-3.3758333,-2.055928,3.4560137
android.sensor.gyroscope,1524780228547,647814586458,-3.3818371,-1.7600424,3.229121
android.sensor.gyroscope,1524780228567,647834578645,-3.3324792,-1.6599652,3.0903149
android.sensor.gyroscope,1524780228587,647854600520,-3.2997544,-1.6444143,2.9397802
android.sensor.gyroscope,1524780228607,647874591145,-3.2749357,-1.5454192,2.7262566
android.sensor.gyroscope,1524780228627,647894581770,-3.2375858,-1.3782516,2.497444
android.sensor.gyroscope,1524780228647,647914605208,-3.1372292,-1.329173,2.2869225
android.sensor.gyroscope,1524780228667,647934594270,-3.0311308,-1.1595443,2.0403945
android.sensor.gyroscope,1524780228687,647954584895,-2.8846977,-0.8912,1.8249512
android.sensor.gyroscope,1524780228707,647974577083,-2.74371,-0.7041182,1.6446936
android.sensor.gyroscope,1524780228727,647994598958,-2.5879917,-0.5394115,1.4693403
android.sensor.gyroscope,1524780228747,648014591145,-2.40091,-0.3313333,1.3174443
android.sensor.gyroscope,1524780228767,648034581770,-2.210826,-0.18270107,1.1851833
android.sensor.gyroscope,1524780228787,648054603645,-2.0403945,-0.08208284,1.0700963
android.sensor.gyroscope,1524780228807,648074594270,-1.8762289,-0.013892821,0.96619684
android.sensor.gyroscope,1524780228827,648094584895,-1.7038777,0.055902895,0.8683013
android.sensor.gyroscope,1524780228847,648114575520,-1.5298858,0.16144295,0.7924842
android.sensor.gyroscope,1524780228867,648134597395,-1.3643414,0.2364223,0.72893673
android.sensor.gyroscope,1524780228887,648154588020,-1.2241739,0.2527935,0.6675884
android.sensor.gyroscope,1524780228907,648174580208,-1.0981786,0.26616272,0.6067637
