Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780423953,843214577083,-4.280833,8.848969,1.340753
android.sensor.accelerometer,1524780423967,843234598958,-4.223372,8.839393,1.3311762
android.sensor.accelerometer,1524780423987,843254591145,-4.271256,8.8777,1.1587936
android.sensor.accelerometer,1524780424007,843274581770,-4.2999864,8.858546,1.1779473
android.sensor.accelerometer,1524780424027,843294603645,-4.175488,8.829816,1.283292
android.sensor.accelerometer,1524780424047,843314594270,-4.1946416,8.810662,1.340753
android.sensor.accelerometer,1524780424067,843334584895,-4.2999864,8.791509,1.1683705
android.sensor.accelerometer,1524780424087,843354577083,-4.261679,8.829816,1.091756
android.sensor.accelerometer,1524780424107,843374598958,-4.223372,8.839393,1.2737153
android.sensor.accelerometer,1524780424127,843394589583,-4.0797195,8.896853,1.2545617
android.sensor.accelerometer,1524780424147,843414580208,-4.10845,8.868123,1.2354081
android.sensor.accelerometer,1524780424167,843434602083,-4.2904096,8.848969,1.2737153
android.sensor.accelerometer,1524780424187,843454594270,-4.3382936,8.90643,1.0055647
android.sensor.accelerometer,1524780424207,843474584895,-4.3478703,8.896853,1.13964
android.sensor.accelerometer,1524780424227,843494575520,-4.2425256,8.8777,1.2066777
android.sensor.accelerometer,1524780424247,843514597395,-4.232949,8.896853,1.1013328
android.sensor.accelerometer,1524780424267,843534588020,-4.76925,8.90643,1.2066777
android.sensor.accelerometer,1524780424287,843554580208,-4.865018,9.011775,1.2066777
android.sensor.accelerometer,1524780424307,843574602083,-5.6120086,9.002198,1.1683705
android.sensor.accelerometer,1524780424327,843594592708,-7.1155677,9.030929,0.94810385
android.sensor.accelerometer,1524780424347,843614583333,-8.695741,8.858546,0.8331822
android.sensor.accelerometer,1524780424367,843634575520,-10.46745,8.255207,1.3503298
android.sensor.accelerometer,1524780424387,843654597395,-11.990162,7.603985,2.719813
android.sensor.accelerometer,1524780424407,843674586458,-12.095507,6.943185,3.8115692
android.sensor.accelerometer,1524780424427,843694578645,-11.492168,6.033388,4.1371803
android.sensor.accelerometer,1524780424447,843714600520,-10.802638,4.817134,3.9552212
android.sensor.accelerometer,1524780424467,843734591145,-9.605537,3.715801,2.9879637
android.sensor.accelerometer,1524780424487,843754583333,-7.920019,2.7389667,2.566584
android.sensor.accelerometer,1524780424507,843774573958,-5.6120086,2.2026656,2.9400797
android.sensor.accelerometer,1524780424527,843794595833,-3.715801,1.7812861,2.5474305
android.sensor.accelerometer,1524780424547,843814586458,-2.2984335,1.6184803,1.6184803
android.sensor.accelerometer,1524780424567,843834578645,-1.1683705,1.5993267,1.1109096
android.sensor.accelerometer,1524780424587,843854600520,0.1340753,1.5610195,1.1971009
android.sensor.accelerometer,1524780424607,843874591145,1.7717092,2.0685902,-0.32561144
android.sensor.accelerometer,1524780424627,843894581770,2.0685902,1.8483237,-0.35434186
android.sensor.accelerometer,1524780424647,843914603645,2.5474305,1.7046716,-1.0151415
android.sensor.accelerometer,1524780424667,843934595833,2.96881,2.6144683,-3.1890767
android.sensor.accelerometer,1524780424687,843954586458,3.572149,2.6431987,-3.7924154
android.sensor.accelerometer,1524780424707,843974577083,4.6160207,2.4037786,-4.060566
android.sensor.accelerometer,1524780424727,843994598958,5.094861,3.3039982,-6.0525417
android.sensor.accelerometer,1524780424747,844014589583,5.363012,4.1371803,-7.7667904
android.sensor.accelerometer,1524780424767,844034580208,5.7365074,3.9552212,-8.561666
android.sensor.accelerometer,1524780424787,844054603645,5.583278,4.654328,-10.208876
android.sensor.accelerometer,1524780424807,844074594270,4.596867,5.5162406,-11.836933
android.sensor.accelerometer,1524780424827,844094584895,4.606444,6.1004257,-12.258312
android.sensor.accelerometer,1524780424847,844114575520,4.3287168,7.297527,-14.259866
android.sensor.accelerometer,1524780424867,844134598958,3.0933087,8.676587,-15.840038
android.sensor.accelerometer,1524780424887,844154588020,3.7924154,9.509769,-16.529568
android.sensor.accelerometer,1524780424907,844174580208,5.085284,10.477027,-18.20551
android.sensor.accelerometer,1524780424927,844194602083,5.353435,11.061212,-19.000385
android.sensor.accelerometer,1524780424947,844214592708,5.5258174,11.463438,-20.178331
android.sensor.accelerometer,1524780424967,844234583333,4.3287168,11.348516,-21.38501
android.sensor.accelerometer,1524780424987,844254573958,2.1452048,11.089942,-22.084116
android.sensor.accelerometer,1524780425007,844274597395,2.3654714,10.295067,-21.701044
android.sensor.accelerometer,1524780425027,844294588020,4.271256,8.446744,-22.783224
android.sensor.accelerometer,1524780425047,844314578645,1.5705963,5.9759274,-24.248474
android.sensor.accelerometer,1524780425067,844334600520,-5.947197,4.2999864,-25.129541
android.sensor.accelerometer,1524780425087,844354592708,-9.710882,3.9839516,-23.980324
android.sensor.accelerometer,1524780425107,844374583333,-9.902418,3.9360676,-20.503942
android.sensor.accelerometer,1524780425128,844394573958,-11.204864,3.9839516,-18.08101
android.sensor.accelerometer,1524780425148,844414595833,-11.999739,4.0222588,-17.535133
android.sensor.accelerometer,1524780425168,844434586458,-11.722012,3.715801,-16.615759
android.sensor.accelerometer,1524780425188,844454578645,-10.984597,3.5051112,-14.365211
android.sensor.accelerometer,1524780425208,844474600520,-9.509769,3.3614593,-12.287044
android.sensor.accelerometer,1524780425228,844494591145,-8.39886,3.2561142,-10.994174
android.sensor.accelerometer,1524780425248,844514581770,-7.9008656,2.873042,-10.582372
android.sensor.accelerometer,1524780425268,844534603645,-8.389283,2.5378537,-10.505757
android.sensor.accelerometer,1524780425288,844554594270,-9.021352,2.2026656,-9.643845
android.sensor.accelerometer,1524780425308,844574586458,-9.404425,2.2601264,-7.0485296
android.sensor.accelerometer,1524780425328,844594577083,-9.682152,2.1260512,-5.2385135
android.sensor.accelerometer,1524780425348,844614600520,-9.701305,1.9536686,-4.759673
android.sensor.accelerometer,1524780425368,844634591145,-9.902418,1.982399,-5.0757074
android.sensor.accelerometer,1524780425388,844654581770,-9.998186,1.7429788,-2.432509
android.sensor.accelerometer,1524780425408,844674602083,-8.944737,1.8387469,-0.5746084
android.sensor.accelerometer,1524780425428,844694594270,-7.632715,2.0685902,-1.8291701
android.sensor.accelerometer,1524780425448,844714584895,-7.441179,2.2218192,-3.064578
android.sensor.accelerometer,1524780425468,844734575520,-6.445191,2.183512,-1.9057846
android.sensor.accelerometer,1524780425488,844754597395,-4.8937483,2.2505496,0.6991069
android.sensor.accelerometer,1524780425508,844774588020,-4.654328,2.432509,1.8291701
android.sensor.accelerometer,1524780425528,844794580208,-4.721366,2.4708161,0.89064306
android.sensor.accelerometer,1524780425548,844814602083,-4.548983,2.5570073,0.17238252
android.sensor.accelerometer,1524780425568,844834592708,-3.083732,2.5953147,0.20111294
android.sensor.accelerometer,1524780425588,844854583333,-1.4748282,3.016694,0.1340753
android.sensor.accelerometer,1524780425608,844874575520,-0.7661445,3.323152,1.3215994
android.sensor.accelerometer,1524780425627,844894597395,-0.7661445,3.7541082,1.8866309
android.sensor.accelerometer,1524780425647,844914588020,-1.0151415,4.405331,0.90979666
android.sensor.accelerometer,1524780425667,844934578645,-0.8331822,4.903325,1.8674773
android.sensor.accelerometer,1524780425687,844954602083,0.47884035,5.6886234,3.122039
android.sensor.accelerometer,1524780425707,844974592708,1.0821792,6.5218053,3.1890767
android.sensor.accelerometer,1524780425727,844994583333,0.842759,7.297527,3.6583402
android.sensor.accelerometer,1524780425747,845014573958,1.3599066,8.025364,3.6008794
android.sensor.accelerometer,1524780425767,845034595833,2.336741,8.781932,3.064578
android.sensor.accelerometer,1524780425787,845054586458,2.2505496,9.3661175,2.4516625
android.sensor.accelerometer,1524780425807,845074578645,2.1260512,9.892841,2.4612393
android.sensor.accelerometer,1524780425827,845094600520,2.030283,9.950302,2.633622
android.sensor.accelerometer,1524780425847,845114591145,0.9576807,10.275913,1.3215994
android.sensor.accelerometer,1524780425867,845134581770,-0.29688102,10.400413,0.9768343
android.sensor.accelerometer,1524780425887,845154573958,0.20111294,9.873688,3.6008794
android.sensor.accelerometer,1524780425907,845174595833,0.22026655,10.04607,1.4748282
android.sensor.accelerometer,1524780425927,845194586458,-1.4269443,10.419566,-0.41180268
android.sensor.accelerometer,1524780425947,845214577083,-2.2409728,10.46745,-0.047884032
android.sensor.accelerometer,1524780425967,845234598958,-1.2066777,9.969456,2.1068976
android.sensor.accelerometer,1524780425987,845254589583,-0.94810385,9.844957,1.388637
android.sensor.accelerometer,1524780426007,845274580208,-2.4133554,10.1226845,-1.283292
android.sensor.accelerometer,1524780426027,845294603645,-2.7964275,10.170568,-1.3311762
android.sensor.accelerometer,1524780426047,845314594270,-2.4612393,9.959879,-0.50757074
android.sensor.accelerometer,1524780426067,845334584895,-2.1260512,9.77792,-0.32561144
android.sensor.accelerometer,1524780426087,845354577083,-3.0933087,9.241618,0.46926352
android.sensor.accelerometer,1524780426107,845374598958,-3.2752678,9.203311,-0.10534488
android.sensor.accelerometer,1524780426127,845394589583,-3.122039,9.030929,0.08619126
android.sensor.accelerometer,1524780426147,845414580208,-4.146757,8.868123,1.0534488
android.sensor.accelerometer,1524780426167,845434602083,-5.0182467,8.66701,1.9249382
android.sensor.accelerometer,1524780426187,845454592708,-4.548983,8.743625,2.0685902
android.sensor.accelerometer,1524780426207,845474583333,-4.0892963,8.561666,1.1204864
android.sensor.accelerometer,1524780426227,845494575520,-4.7979803,8.599973,4.050989
android.sensor.accelerometer,1524780426247,845514597395,-3.3901896,8.590396,5.995081
android.sensor.accelerometer,1524780426267,845534588020,-1.2354081,9.193734,4.280833
android.sensor.accelerometer,1524780426287,845554580208,-1.2162545,9.77792,1.8004397
android.sensor.accelerometer,1524780426307,845574602083,-1.4077905,10.400413,0.94810385
android.sensor.accelerometer,1524780426327,845594592708,-2.0207062,10.927136,0.5650316
android.sensor.accelerometer,1524780426347,845614583333,-2.078167,10.496181,1.8962077
android.sensor.accelerometer,1524780426367,845634573958,-0.9672575,10.141838,2.0015526
android.sensor.accelerometer,1524780426387,845654595833,-0.08619126,10.457873,1.532289
android.sensor.accelerometer,1524780426407,845674586458,-0.06703765,10.67814,1.5131354
android.sensor.accelerometer,1524780426427,845694578645,-0.7757214,10.477027,2.0111294
android.sensor.accelerometer,1524780426447,845714600520,-0.58418524,10.390836,2.3654714
android.sensor.accelerometer,1524780426467,845734591145,-0.1340753,10.43872,2.2697031
android.sensor.accelerometer,1524780426487,845754581770,0.37349546,10.448297,1.7717092
android.sensor.accelerometer,1524780426507,845774573958,0.46926352,10.534488,1.0055647
android.sensor.accelerometer,1524780426527,845794595833,-0.02873042,10.582372,0.5650316
android.sensor.accelerometer,1524780426547,845814586458,-0.38307226,10.180145,2.5091233
android.sensor.accelerometer,1524780426567,845834577083,-0.12449849,9.950302,3.0071173
android.sensor.accelerometer,1524780426587,845854598958,0.34476504,9.940725,2.7581203
android.sensor.accelerometer,1524780426607,845874591145,0.49799395,10.093954,2.2984335
android.sensor.accelerometer,1524780426627,845894581770,0.20111294,10.352529,-0.51714754
android.sensor.accelerometer,1524780426647,845914603645,-0.7661445,10.084377,0.08619126
android.sensor.accelerometer,1524780426667,845934595833,-0.38307226,9.710882,1.934515
android.sensor.accelerometer,1524780426687,845954584895,0.641646,9.3661175,3.323152
android.sensor.accelerometer,1524780426707,845974577083,0.6703765,9.394848,3.5338416
