Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780423953,843214577083,0.0155334305,-0.0286234,-0.08126253
android.sensor.gyroscope,1524780423967,843234598958,0.013892821,-0.029443704,-0.07089528
android.sensor.gyroscope,1524780423987,843254591145,0.016074482,-0.035709437,-0.06735226
android.sensor.gyroscope,1524780424007,843274581770,0.012269665,-0.029164452,-0.06080727
android.sensor.gyroscope,1524780424027,843294603645,0.0109083075,-0.027262043,-0.047996555
android.sensor.gyroscope,1524780424047,843314594270,-0.0032637657,-0.017715093,-0.053162728
android.sensor.gyroscope,1524780424067,843334584895,-0.014451326,-0.0010821042,-0.036808994
android.sensor.gyroscope,1524780424087,843354577083,-0.040352013,0.014713125,-0.053162728
android.sensor.gyroscope,1524780424107,843374598958,-0.04553564,0.03190462,-0.040072758
android.sensor.gyroscope,1524780424127,843394589583,-0.047717303,0.039531708,-0.029164452
android.sensor.gyroscope,1524780424147,843414580208,-0.07061602,0.059445914,-0.026441738
android.sensor.gyroscope,1524780424167,843434602083,-0.042533673,0.03408628,-0.013631022
android.sensor.gyroscope,1524780424187,843454594270,-0.029984757,0.023177972,-0.010629055
android.sensor.gyroscope,1524780424207,843474584895,0.0,0.0,0.0
android.sensor.gyroscope,1524780424227,843494575520,0.0,0.0,0.0
android.sensor.gyroscope,1524780424247,843514597395,0.0,0.0,0.0
android.sensor.gyroscope,1524780424267,843534588020,-0.017994344,-0.02480113,-0.02480113
android.sensor.gyroscope,1524780424287,843554580208,-0.010088003,-0.031346112,-0.022078415
android.sensor.gyroscope,1524780424307,843574602083,-0.008447394,-0.033265974,-0.019355701
android.sensor.gyroscope,1524780424327,843594592708,-0.007347836,-0.032724924,-0.020996312
android.sensor.gyroscope,1524780424347,843614583333,-0.024260076,-0.052621678,-0.06571165
android.sensor.gyroscope,1524780424367,843634575520,-0.048258353,-0.0038048178,-0.10744247
android.sensor.gyroscope,1524780424387,843654597395,-0.20397663,0.31442106,-0.23588125
android.sensor.gyroscope,1524780424407,843674586458,-0.6414085,1.012291,-0.34824553
android.sensor.gyroscope,1524780424427,843694578645,-0.96565574,1.4633363,-0.35997415
android.sensor.gyroscope,1524780424447,843714600520,-1.1857244,1.7715092,-0.35859534
android.sensor.gyroscope,1524780424467,843734591145,-1.5200596,2.2045603,-0.34252086
android.sensor.gyroscope,1524780424487,843754583333,-1.9574915,2.7366064,-0.28660053
android.sensor.gyroscope,1524780424507,843774573958,-2.3231902,3.1478584,-0.21924827
android.sensor.gyroscope,1524780424527,843794595833,-2.4903579,3.2834005,-0.15898204
android.sensor.gyroscope,1524780424547,843814586458,-2.582808,3.3041177,-0.10908308
android.sensor.gyroscope,1524780424567,843834578645,-2.7265184,3.3859386,-0.052621678
android.sensor.gyroscope,1524780424587,843854600520,-2.8266132,3.3930247,0.007347836
android.sensor.gyroscope,1524780424607,843874591145,-2.8293357,3.366845,0.07716101
android.sensor.gyroscope,1524780424627,843894581770,-2.820609,3.3482919,0.15543902
android.sensor.gyroscope,1524780424647,843914603645,-2.8157048,3.3139439,0.22361158
android.sensor.gyroscope,1524780424667,843934595833,-2.7595227,3.3098423,0.28906143
android.sensor.gyroscope,1524780424687,843954586458,-2.7147899,3.391105,0.35915387
android.sensor.gyroscope,1524780424707,843974577083,-2.6400723,3.4483867,0.4314105
android.sensor.gyroscope,1524780424727,843994598958,-2.6068063,3.6174567,0.51785666
android.sensor.gyroscope,1524780424747,844014589583,-2.8683264,4.298676,0.6779382
android.sensor.gyroscope,1524780424767,844034580208,-3.93762,6.0549135,0.91273737
android.sensor.gyroscope,1524780424787,844054603645,-5.715674,8.66528,0.8961044
android.sensor.gyroscope,1524780424807,844074594270,-6.4367046,10.147711,0.32070425
android.sensor.gyroscope,1524780424827,844094584895,-5.989464,10.470596,-0.4715007
android.sensor.gyroscope,1524780424847,844114575520,-5.0431814,10.504421,-1.2315392
android.sensor.gyroscope,1524780424867,844134598958,-3.803177,10.252169,-1.8560355
android.sensor.gyroscope,1524780424887,844154588020,-2.6234393,9.756391,-2.1974742
android.sensor.gyroscope,1524780424907,844174580208,-1.6378694,9.198147,-2.3422842
android.sensor.gyroscope,1524780424927,844194602083,-0.9550093,8.566285,-2.3226492
android.sensor.gyroscope,1524780424947,844214592708,-0.5238606,7.9270587,-2.2342832
android.sensor.gyroscope,1524780424967,844234583333,-0.2508911,7.2744627,-2.1325655
android.sensor.gyroscope,1524780424987,844254573958,-0.10089748,6.583696,-2.0450196
android.sensor.gyroscope,1524780425007,844274597395,-0.016074482,5.9172072,-1.9872144
android.sensor.gyroscope,1524780425027,844294588020,0.06270968,5.348335,-1.9621166
android.sensor.gyroscope,1524780425047,844314578645,0.1409877,4.8269176,-1.9610345
android.sensor.gyroscope,1524780425067,844334600520,0.21434389,4.2397714,-1.9487648
android.sensor.gyroscope,1524780425087,844354592708,0.24979152,3.6278238,-1.933755
android.sensor.gyroscope,1524780425107,844374583333,0.26015878,3.0791273,-1.8925827
android.sensor.gyroscope,1524780425128,844394573958,0.2446079,2.6204374,-1.884397
android.sensor.gyroscope,1524780425148,844414595833,0.22170918,2.2195528,-1.9062136
android.sensor.gyroscope,1524780425168,844434586458,0.19552924,1.8421252,-1.8734888
android.sensor.gyroscope,1524780425188,844454578645,0.17261307,1.5047879,-1.8156835
android.sensor.gyroscope,1524780425208,844474600520,0.13988814,1.2083613,-1.7499543
android.sensor.gyroscope,1524780425228,844494591145,0.11698942,0.9719215,-1.715327
android.sensor.gyroscope,1524780425248,844514581770,0.08970992,0.77120864,-1.6899674
android.sensor.gyroscope,1524780425268,844534603645,0.07171558,0.5666735,-1.62642
android.sensor.gyroscope,1524780425288,844554594270,0.06544985,0.35915387,-1.5075282
android.sensor.gyroscope,1524780425308,844574586458,0.07035422,0.14479251,-1.3425248
android.sensor.gyroscope,1524780425328,844594577083,0.095434606,-0.11098549,-1.0681939
