Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780472367,891634597395,0.017715093,-0.06571165,-0.006265732
android.sensor.gyroscope,1524780472387,891654589583,0.019076448,-0.0752586,-0.007906342
android.sensor.gyroscope,1524780472407,891674580208,0.023719024,-0.10089748,-0.011170107
android.sensor.gyroscope,1524780472427,891694602083,0.023998277,-0.10770427,-0.012531464
android.sensor.gyroscope,1524780472447,891714592708,0.034627333,-0.1611637,-0.018256145
android.sensor.gyroscope,1524780472467,891734583333,0.038449604,-0.18133971,-0.0283616
android.sensor.gyroscope,1524780472487,891754575520,0.036808994,-0.17671458,-0.033807028
android.sensor.gyroscope,1524780472507,891774597395,0.03926991,-0.18516198,-0.032724924
android.sensor.gyroscope,1524780472527,891794588020,0.050178215,-0.24352579,-0.032986723
android.sensor.gyroscope,1524780472547,891814578645,0.05071927,-0.25115287,-0.026441738
android.sensor.gyroscope,1524780472567,891834600520,0.04935791,-0.24870941,-0.02698279
android.sensor.gyroscope,1524780472587,891854592708,0.047996555,-0.24488714,-0.02698279
android.sensor.gyroscope,1524780472607,891874583333,0.037088245,-0.23205897,-0.019076448
android.sensor.gyroscope,1524780472627,891894573958,0.029164452,-0.2268928,-0.0054454273
android.sensor.gyroscope,1524780472647,891914595833,0.01881465,-0.20970131,0.014451326
android.sensor.gyroscope,1524780472667,891934586458,0.01308997,-0.20916025,0.024260076
android.sensor.gyroscope,1524780472687,891954578645,0.009267698,-0.2159845,0.02698279
android.sensor.gyroscope,1524780472707,891974600520,0.012810716,-0.21406463,0.038711403
android.sensor.gyroscope,1524780472727,891994591145,0.026441738,-0.26860616,0.07225663
android.sensor.gyroscope,1524780472747,892014583333,0.044174284,-0.3782303,0.14042918
android.sensor.gyroscope,1524780472767,892034573958,0.061889376,-0.5200383,0.23970352
android.sensor.gyroscope,1524780472787,892054595833,0.0850848,-0.76030034,0.47858673
android.sensor.gyroscope,1524780472807,892074586458,0.07007497,-0.8620181,0.6773972
android.sensor.gyroscope,1524780472827,892094577083,0.061086524,-0.9359328,0.8437445
android.sensor.gyroscope,1524780472847,892114598958,0.06817256,-1.0207384,0.9841912
android.sensor.gyroscope,1524780472867,892134589583,0.06789331,-1.055645,1.0818249
android.sensor.gyroscope,1524780472887,892154580208,0.044715334,-1.0114707,1.1606439
android.sensor.gyroscope,1524780472907,892174603645,0.048258353,-0.9877342,1.1898084
android.sensor.gyroscope,1524780472927,892194594270,0.07007497,-0.97110116,1.1789001
android.sensor.gyroscope,1524780472947,892214584895,0.10988593,-0.9877342,1.1982733
android.sensor.gyroscope,1524780472967,892234575520,0.13744467,-0.9670171,1.1314621
android.sensor.gyroscope,1524780472987,892254598958,0.20369738,-0.9852907,0.9501049
android.sensor.gyroscope,1524780473007,892274588020,0.38341394,-1.1140088,0.6664889
android.sensor.gyroscope,1524780473027,892294580208,0.59939843,-1.2189903,0.3888768
android.sensor.gyroscope,1524780473047,892314602083,0.82711154,-1.3179854,0.050981067
android.sensor.gyroscope,1524780473067,892334592708,1.280356,-1.95339,-0.431969
android.sensor.gyroscope,1524780473087,892354583333,1.9749447,-3.3289363,-0.8077558
android.sensor.gyroscope,1524780473107,892374575520,2.8347812,-5.1465397,-0.7534761
android.sensor.gyroscope,1524780473127,892394597395,3.8110836,-6.6401577,-0.24406683
android.sensor.gyroscope,1524780473147,892414588020,4.6292067,-6.9243145,0.30269244
android.sensor.gyroscope,1524780473167,892434578645,5.1863503,-6.5387015,0.64058816
android.sensor.gyroscope,1524780473187,892454602083,5.4765115,-5.8787575,0.8126602
android.sensor.gyroscope,1524780473207,892474592708,5.5416822,-5.187171,0.874026
android.sensor.gyroscope,1524780473228,892494583333,5.437783,-4.5943,0.8928406
android.sensor.gyroscope,1524780473248,892514573958,5.2354293,-4.1413345,0.91738
android.sensor.gyroscope,1524780473267,892534595833,4.95019,-3.79281,0.9735621
android.sensor.gyroscope,1524780473287,892554586458,4.6213,-3.4816525,1.0368303
android.sensor.gyroscope,1524780473307,892574578645,4.277418,-3.204861,1.1142706
android.sensor.gyroscope,1524780473327,892594600520,3.951792,-2.9427822,1.214627
android.sensor.gyroscope,1524780473347,892614592708,3.5942786,-2.655344,1.2544554
android.sensor.gyroscope,1524780473367,892634581770,3.1991186,-2.3417256,1.2323595
android.sensor.gyroscope,1524780473387,892654573958,2.7867846,-2.0218418,1.1510969
android.sensor.gyroscope,1524780473407,892674595833,2.3979077,-1.734962,1.059729
android.sensor.gyroscope,1524780473427,892694586458,1.9664799,-1.4453421,0.86910415
android.sensor.gyroscope,1524780473447,892714577083,1.4218848,-1.1011806,0.462233
android.sensor.gyroscope,1524780473467,892734598958,0.67957884,-0.6525786,-0.32642892
android.sensor.gyroscope,1524780473487,892754589583,-0.22579324,-0.12925908,-1.4903367
android.sensor.gyroscope,1524780473507,892774581770,-1.0954559,0.39023817,-2.7027993
android.sensor.gyroscope,1524780473527,892794603645,-1.7063211,0.8344768,-3.5741026
android.sensor.gyroscope,1524780473547,892814594270,-1.985312,1.1396302,-3.9504306
android.sensor.gyroscope,1524780473567,892834584895,-2.0395744,1.3597162,-3.9763486
android.sensor.gyroscope,1524780473587,892854575520,-1.9833921,1.521421,-3.8369842
android.sensor.gyroscope,1524780473607,892874598958,-1.8792135,1.6403302,-3.589636
android.sensor.gyroscope,1524780473627,892894589583,-1.6605062,1.6498772,-3.0393164
android.sensor.gyroscope,1524780473647,892914580208,-1.495241,1.6288809,-2.526905
android.sensor.gyroscope,1524780473667,892934602083,-1.3978865,1.6141503,-2.1328447
android.sensor.gyroscope,1524780473687,892954594270,-1.3280734,1.579523,-1.7507746
android.sensor.gyroscope,1524780473707,892974584895,-1.2579985,1.5126944,-1.3308135
android.sensor.gyroscope,1524780473727,892994575520,-1.1990936,1.451887,-0.93811446
android.sensor.gyroscope,1524780473747,893014597395,-1.1620053,1.37881,-0.57513833
android.sensor.gyroscope,1524780473767,893034588020,-1.1658101,1.3316164,-0.27597147
android.sensor.gyroscope,1524780473787,893054578645,-1.184904,1.2877214,0.0035430184
android.sensor.gyroscope,1524780473807,893074602083,-1.2277169,1.2364436,0.2454282
android.sensor.gyroscope,1524780473827,893094592708,-1.2852604,1.1590034,0.46169195
android.sensor.gyroscope,1524780473847,893114583333,-1.3714448,1.0755591,0.63648665
android.sensor.gyroscope,1524780473867,893134573958,-1.4968816,1.0008241,0.7272962
android.sensor.gyroscope,1524780473887,893154597395,-1.6313243,0.9277472,0.80147266
android.sensor.gyroscope,1524780473907,893174586458,-1.7905856,0.8426624,0.8413011
android.sensor.gyroscope,1524780473927,893194578645,-1.9951208,0.76220274,0.8232893
android.sensor.gyroscope,1524780473947,893214600520,-2.203199,0.6779382,0.738763
android.sensor.gyroscope,1524780473967,893234591145,-2.4232676,0.5565855,0.5699547
android.sensor.gyroscope,1524780473987,893254581770,-2.6425333,0.41423646,0.3359759
