Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780540454,959714581770,-0.15322891,9.998186,0.5554548
android.sensor.accelerometer,1524780540467,959734573958,-0.12449849,9.9790325,0.60333884
android.sensor.accelerometer,1524780540487,959754595833,-0.18195933,10.01734,0.61291564
android.sensor.accelerometer,1524780540507,959774586458,-0.076614454,9.921572,0.80445176
android.sensor.accelerometer,1524780540527,959794577083,-0.08619126,9.911995,0.63206923
android.sensor.accelerometer,1524780540547,959814598958,-0.31603462,9.931149,0.4213795
android.sensor.accelerometer,1524780540567,959834589583,-0.019153614,9.883265,0.40222588
android.sensor.accelerometer,1524780540587,959854581770,0.12449849,9.720459,0.7565677
android.sensor.accelerometer,1524780540607,959874603645,0.12449849,9.595961,1.0247183
android.sensor.accelerometer,1524780540627,959894594270,0.05746084,9.615114,0.8714894
android.sensor.accelerometer,1524780540647,959914584895,-0.02873042,9.691729,0.6799533
android.sensor.accelerometer,1524780540667,959934577083,-0.45968673,9.691729,0.6607997
android.sensor.accelerometer,1524780540687,959954598958,-0.6991069,9.787497,0.6512229
android.sensor.accelerometer,1524780540707,959974589583,-0.80445176,9.950302,0.6991069
android.sensor.accelerometer,1524780540727,959994580208,-0.94810385,10.170568,0.46926352
android.sensor.accelerometer,1524780540747,960014602083,-1.1013328,10.457873,0.38307226
android.sensor.accelerometer,1524780540767,960034594270,-1.4556746,11.013328,0.2777274
android.sensor.accelerometer,1524780540787,960054584895,-1.3311762,11.568783,0.35434186
android.sensor.accelerometer,1524780540807,960074575520,-0.5363012,11.827356,0.5746084
android.sensor.accelerometer,1524780540827,960094597395,0.7182605,12.516887,1.0342951
android.sensor.accelerometer,1524780540847,960114588020,3.5242648,12.995727,1.6567876
android.sensor.accelerometer,1524780540867,960134578645,6.483498,12.459426,3.122039
android.sensor.accelerometer,1524780540887,960154602083,8.561666,12.210428,4.903325
android.sensor.accelerometer,1524780540907,960174592708,10.611102,11.252748,4.501099
android.sensor.accelerometer,1524780540927,960194583333,12.919112,9.864111,3.9073372
android.sensor.accelerometer,1524780540947,960214575520,14.441825,8.360553,5.2289367
android.sensor.accelerometer,1524780540967,960234597395,14.5088625,6.6367273,4.3861775
android.sensor.accelerometer,1524780540987,960254588020,12.995727,5.0661306,1.8962077
android.sensor.accelerometer,1524780541007,960274578645,10.400413,3.064578,0.92895025
android.sensor.accelerometer,1524780541027,960294600520,7.1251445,1.7142484,0.08619126
android.sensor.accelerometer,1524780541047,960314591145,4.3478703,0.4213795,-1.2449849
android.sensor.accelerometer,1524780541067,960334581770,1.6663644,-0.8331822,-3.2561142
android.sensor.accelerometer,1524780541087,960354573958,-1.4173675,-1.9249382,-4.654328
android.sensor.accelerometer,1524780541107,960374595833,-3.7349546,-2.633622,-5.0278234
android.sensor.accelerometer,1524780541128,960394586458,-8.341399,-3.3135753,-5.583278
android.sensor.accelerometer,1524780541148,960414577083,-11.87524,-3.3901896,-6.703765
android.sensor.accelerometer,1524780541167,960434600520,-14.834474,-3.2561142,-7.0485296
android.sensor.accelerometer,1524780541188,960454591145,-18.387468,-2.9400797,-6.38773
android.sensor.accelerometer,1524780541208,960474581770,-18.952501,-2.3080103,-5.2002063
android.sensor.accelerometer,1524780541227,960494603645,-19.55584,-1.8866309,-3.6391866
android.sensor.accelerometer,1524780541247,960514594270,-19.325996,-1.283292,-2.7389667
android.sensor.accelerometer,1524780541268,960534584895,-19.6133,-0.7278373,-1.9919758
android.sensor.accelerometer,1524780541288,960554577083,-19.55584,-0.18195933,-1.3024458
android.sensor.accelerometer,1524780541308,960574598958,-19.536686,0.9768343,-0.8619126
android.sensor.accelerometer,1524780541328,960594589583,-19.297266,1.2066777,-0.4213795
android.sensor.accelerometer,1524780541348,960614580208,-17.832014,0.80445176,-0.8331822
android.sensor.accelerometer,1524780541368,960634602083,-16.25184,0.7086837,-2.72939
android.sensor.accelerometer,1524780541388,960654594270,-14.796166,0.7086837,-3.7445314
android.sensor.accelerometer,1524780541408,960674584895,-12.162544,0.5363012,-4.5777135
android.sensor.accelerometer,1524780541428,960694575520,-9.682152,0.16280572,-5.4779334
android.sensor.accelerometer,1524780541448,960714597395,-6.847417,-0.39264908,-5.793968
android.sensor.accelerometer,1524780541468,960734588020,-2.767697,0.40222588,-8.456321
android.sensor.accelerometer,1524780541488,960754580208,4.2521024,1.3694834,-10.208876
android.sensor.accelerometer,1524780541508,960774602083,9.375694,1.8866309,-8.39886
android.sensor.accelerometer,1524780541528,960794592708,10.180145,3.2561142,-7.632715
android.sensor.accelerometer,1524780541548,960814583333,13.761871,4.76925,-8.2169
android.sensor.accelerometer,1524780541568,960834575520,16.548721,5.985504,-6.2632318
android.sensor.accelerometer,1524780541588,960854597395,15.964537,6.5122285,-4.6351743
android.sensor.accelerometer,1524780541608,960874586458,14.384364,7.4507556,-5.5258174
android.sensor.accelerometer,1524780541628,960894578645,15.02601,8.599973,-6.215348
android.sensor.accelerometer,1524780541648,960914600520,14.681245,8.322245,-4.711789
android.sensor.accelerometer,1524780541667,960934591145,13.608643,8.599973,-5.267244
android.sensor.accelerometer,1524780541687,960954581770,12.842498,9.088389,-7.249643
android.sensor.accelerometer,1524780541707,960974573958,12.028469,9.279925,-8.264784
android.sensor.accelerometer,1524780541727,960994595833,10.01734,9.279925,-9.835381
android.sensor.accelerometer,1524780541747,961014586458,8.6095495,9.260772,-12.737153
android.sensor.accelerometer,1524780541767,961034578645,9.404425,8.896853,-14.403518
android.sensor.accelerometer,1524780541787,961054600520,10.0269165,7.9870567,-14.978126
android.sensor.accelerometer,1524780541807,961074591145,7.575254,7.5944076,-18.100164
android.sensor.accelerometer,1524780541827,961094581770,6.3781533,6.991069,-20.51352
android.sensor.accelerometer,1524780541847,961114603645,6.1195793,5.544971,-18.195932
android.sensor.accelerometer,1524780541867,961134594270,4.6830587,4.6160207,-16.424223
android.sensor.accelerometer,1524780541887,961154584895,1.934515,4.1276035,-17.640478
android.sensor.accelerometer,1524780541907,961174577083,0.8523358,3.7828386,-17.717093
android.sensor.accelerometer,1524780541927,961194598958,-0.7086837,3.6583402,-15.562311
android.sensor.accelerometer,1524780541947,961214589583,-1.9728222,3.821146,-15.05474
android.sensor.accelerometer,1524780541967,961234580208,-2.2888567,3.9073372,-14.15452
android.sensor.accelerometer,1524780541987,961254603645,-5.3247046,4.0701427,-12.74673
android.sensor.accelerometer,1524780542007,961274594270,-7.07726,5.171476,-15.370775
android.sensor.accelerometer,1524780542027,961294584895,-7.019799,5.8322754,-15.74427
android.sensor.accelerometer,1524780542047,961314575520,-4.644751,5.4204726,-12.354081
android.sensor.accelerometer,1524780542067,961334597395,-1.8195933,4.9320555,-9.883265
android.sensor.accelerometer,1524780542087,961354588020,-0.7661445,5.0661306,-8.983045
android.sensor.accelerometer,1524780542107,961374580208,0.21068975,5.401319,-8.839393
android.sensor.accelerometer,1524780542127,961394602083,0.81402856,5.5737014,-7.785944
android.sensor.accelerometer,1524780542147,961414592708,1.13964,5.48751,-4.817134
android.sensor.accelerometer,1524780542167,961434583333,1.5610195,5.5258174,-2.2122424
android.sensor.accelerometer,1524780542187,961454575520,2.6527755,5.841852,-0.6991069
android.sensor.accelerometer,1524780542207,961474597395,3.2082303,6.1770406,0.22026655
android.sensor.accelerometer,1524780542227,961494588020,3.5625722,6.1866174,1.091756
android.sensor.accelerometer,1524780542247,961514578645,2.6048915,6.540959,1.1683705
android.sensor.accelerometer,1524780542267,961534600520,2.4899697,6.6654577,3.1890767
android.sensor.accelerometer,1524780542287,961554592708,2.7006595,6.991069,4.156334
android.sensor.accelerometer,1524780542307,961574583333,3.6104562,7.029376,4.261679
android.sensor.accelerometer,1524780542327,961594573958,3.6870706,7.1826053,4.223372
android.sensor.accelerometer,1524780542347,961614597395,2.767697,7.07726,3.763685
android.sensor.accelerometer,1524780542367,961634586458,2.3654714,7.201759,5.363012
android.sensor.accelerometer,1524780542387,961654578645,3.2082303,7.201759,5.3438582
android.sensor.accelerometer,1524780542407,961674600520,3.217807,7.3166804,4.596867
android.sensor.accelerometer,1524780542427,961694591145,2.834735,7.795521,4.185065
android.sensor.accelerometer,1524780542447,961714581770,3.4763808,7.8625584,4.146757
android.sensor.accelerometer,1524780542467,961734603645,3.4763808,7.795521,5.1140146
android.sensor.accelerometer,1524780542487,961754594270,3.41892,7.833828,5.0278234
android.sensor.accelerometer,1524780542507,961774586458,3.3997664,8.015787,4.548983
android.sensor.accelerometer,1524780542527,961794577083,3.3614593,8.283937,4.10845
android.sensor.accelerometer,1524780542547,961814598958,3.2752678,9.126697,4.3861775
android.sensor.accelerometer,1524780542567,961834589583,3.715801,8.082825,0.9959879
android.sensor.accelerometer,1524780542587,961854580208,3.8019924,8.37013,3.5625722
android.sensor.accelerometer,1524780542607,961874603645,4.0318356,8.255207,4.5777135
