Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780557470,976734586458,-0.07798131,-0.10988593,0.20015436
android.sensor.gyroscope,1524780557487,976754577083,-0.08290314,-0.14753269,0.21216223
android.sensor.gyroscope,1524780557507,976774598958,-0.08862782,-0.14643313,0.21052161
android.sensor.gyroscope,1524780557527,976794589583,-0.087807514,-0.13880603,0.20561723
android.sensor.gyroscope,1524780557547,976814581770,-0.0946143,-0.10962413,0.19825195
android.sensor.gyroscope,1524780557567,976834603645,-0.09025098,-0.10115928,0.18079865
android.sensor.gyroscope,1524780557587,976854594270,-0.10007718,-0.05862561,0.16798794
android.sensor.gyroscope,1524780557607,976874584895,-0.102538094,-0.039531708,0.15762068
android.sensor.gyroscope,1524780557627,976894575520,-0.093811445,-0.00408407,0.13170254
android.sensor.gyroscope,1524780557647,976914598958,-0.10798352,0.0376293,0.12733923
android.sensor.gyroscope,1524780557667,976934589583,-0.08862782,0.025359634,0.1137082
android.sensor.gyroscope,1524780557687,976954580208,-0.07361799,0.033807028,0.08562585
android.sensor.gyroscope,1524780557707,976974602083,-0.07035422,0.058346357,0.07417649
android.sensor.gyroscope,1524780557727,976994592708,-0.063268185,0.06899287,0.059707712
android.sensor.gyroscope,1524780557747,977014583333,-0.06462954,0.10061823,0.051539574
android.sensor.gyroscope,1524780557767,977034575520,-0.057526052,0.054262288,0.05454154
android.sensor.gyroscope,1524780557787,977054597395,-0.045256387,0.0070860367,0.063268185
android.sensor.gyroscope,1524780557807,977074588020,-0.052080624,-0.049619712,0.10007718
android.sensor.gyroscope,1524780557827,977094578645,-0.13470452,-0.31742302,0.32751104
android.sensor.gyroscope,1524780557847,977114600520,-0.20751965,-0.5126905,0.5170538
android.sensor.gyroscope,1524780557867,977134592708,-0.2279749,-0.62721896,0.6094864
android.sensor.gyroscope,1524780557887,977154583333,-0.23205897,-0.6760358,0.6468539
android.sensor.gyroscope,1524780557907,977174573958,-0.24652776,-0.769568,0.7297571
android.sensor.gyroscope,1524780557927,977194595833,-0.26970574,-0.80583596,0.8238478
android.sensor.gyroscope,1524780557947,977214586458,-0.26342255,-0.8358382,0.8633795
android.sensor.gyroscope,1524780557967,977234578645,-0.24596925,-0.8481078,0.844303
android.sensor.gyroscope,1524780557987,977254600520,-0.2271546,-0.8753873,0.81320125
android.sensor.gyroscope,1524780558007,977274591145,-0.18352138,-0.9817477,0.78021455
android.sensor.gyroscope,1524780558028,977294581770,-0.14617133,-1.0068281,0.7131241
android.sensor.gyroscope,1524780558048,977314573958,-0.087807514,-0.9907361,0.60786325
android.sensor.gyroscope,1524780558067,977334595833,-0.0032637657,-0.9301907,0.4322308
android.sensor.gyroscope,1524780558087,977354586458,0.14835298,-0.95392716,0.178617
android.sensor.gyroscope,1524780558107,977374577083,0.35397023,-0.9198409,-0.27925268
android.sensor.gyroscope,1524780558127,977394598958,0.6021386,-0.8492074,-0.860936
android.sensor.gyroscope,1524780558147,977414591145,0.81293947,-0.5953143,-1.5975174
android.sensor.gyroscope,1524780558167,977434581770,0.85165083,0.24678956,-2.378814
android.sensor.gyroscope,1524780558187,977454603645,-1.3518099,7.902519,-3.366845
android.sensor.gyroscope,1524780558207,977474594270,-3.340124,10.356069,-3.281219
android.sensor.gyroscope,1524780558227,977494584895,-4.0325136,9.573672,-3.3393035
android.sensor.gyroscope,1524780558247,977514577083,-4.316129,8.494011,-3.45083
android.sensor.gyroscope,1524780558267,977534598958,-4.419226,7.478736,-3.552548
android.sensor.gyroscope,1524780558287,977554589583,-4.3813176,6.627609,-3.6166363
android.sensor.gyroscope,1524780558307,977574580208,-4.26541,5.9714694,-3.6340897
android.sensor.gyroscope,1524780558327,977594602083,-4.0892367,5.4061575,-3.6079097
android.sensor.gyroscope,1524780558347,977614594270,-3.9005315,4.9539948,-3.5255651
android.sensor.gyroscope,1524780558367,977634584895,-3.6829064,4.5833917,-3.393566
android.sensor.gyroscope,1524780558387,977654575520,-3.46392,4.291869,-3.2247577
android.sensor.gyroscope,1524780558407,977674597395,-3.1775813,3.9850755,-3.0000465
android.sensor.gyroscope,1524780558427,977694588020,-2.856877,3.6564648,-2.7453332
android.sensor.gyroscope,1524780558447,977714578645,-2.7265184,3.526106,-2.5555286
android.sensor.gyroscope,1524780558467,977734602083,-2.7499757,3.539196,-2.4030914
android.sensor.gyroscope,1524780558487,977754592708,-2.7000768,3.4688418,-2.2143865
android.sensor.gyroscope,1524780558507,977774583333,-2.7450712,3.4483867,-2.039295
android.sensor.gyroscope,1524780558527,977794575520,-2.89969,3.4901,-1.9223056
android.sensor.gyroscope,1524780558547,977814597395,-3.195855,3.641996,-1.9056727
android.sensor.gyroscope,1524780558567,977834588020,-3.5331922,3.8623438,-1.9506673
android.sensor.gyroscope,1524780558587,977854578645,-3.9703448,4.2564216,-2.1761987
android.sensor.gyroscope,1524780558607,977874600520,-4.372591,4.828558,-2.6436152
android.sensor.gyroscope,1524780558627,977894591145,-4.4606776,5.5193243,-3.2367654
android.sensor.gyroscope,1524780558647,977914581770,-4.1023264,6.1364555,-3.6340897
android.sensor.gyroscope,1524780558667,977934573958,-3.43966,6.5084376,-3.6870081
android.sensor.gyroscope,1524780558687,977954595833,-2.7649682,6.6472435,-3.5130162
android.sensor.gyroscope,1524780558707,977974586458,-2.207283,6.566522,-3.2160308
android.sensor.gyroscope,1524780558727,977994577083,-1.7635854,6.3303614,-2.8868792
android.sensor.gyroscope,1524780558747,978014600520,-1.4297912,5.9684677,-2.5648136
android.sensor.gyroscope,1524780558767,978034591145,-1.201537,5.495326,-2.2850025
android.sensor.gyroscope,1524780558787,978054581770,-1.0210176,5.026269,-2.0480218
android.sensor.gyroscope,1524780558807,978074603645,-0.88247335,4.558294,-1.8677641
android.sensor.gyroscope,1524780558827,978094594270,-0.7823962,4.0775256,-1.7175087
android.sensor.gyroscope,1524780558847,978114584895,-0.71284485,3.5961812,-1.5885115
android.sensor.gyroscope,1524780558867,978134577083,-0.6468539,3.154124,-1.4813482
android.sensor.gyroscope,1524780558887,978154598958,-0.6233967,2.6567054,-1.3659819
android.sensor.gyroscope,1524780558907,978174589583,-0.586867,2.2184706,-1.2601801
android.sensor.gyroscope,1524780558927,978194580208,-0.5483999,1.8388615,-1.1786383
android.sensor.gyroscope,1524780558947,978214603645,-0.51677454,1.4903367,-1.0872703
