Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780513834,933094586458,-5.90889,7.929596,-0.63206923
android.sensor.accelerometer,1524780513847,933114577083,-5.9663506,7.929596,-0.62249243
android.sensor.accelerometer,1524780513867,933134598958,-5.947197,7.9870567,-0.7757214
android.sensor.accelerometer,1524780513887,933154591145,-5.947197,7.929596,-0.7374141
android.sensor.accelerometer,1524780513907,933174581770,-5.9759274,7.8625584,-0.7086837
android.sensor.accelerometer,1524780513927,933194603645,-6.0142345,7.9391727,-0.92895025
android.sensor.accelerometer,1524780513947,933214594270,-5.995081,7.9391727,-0.90021986
android.sensor.accelerometer,1524780513967,933234584895,-6.042965,7.9008656,-0.6607997
android.sensor.accelerometer,1524780513987,933254575520,-6.14831,7.833828,-0.51714754
android.sensor.accelerometer,1524780514007,933274598958,-5.995081,7.8625584,-0.63206923
android.sensor.accelerometer,1524780514027,933294589583,-5.631162,7.8912888,-0.60333884
android.sensor.accelerometer,1524780514047,933314580208,-5.6407394,7.8912888,-0.7661445
android.sensor.accelerometer,1524780514067,933334603645,-5.90889,7.843405,-0.4405331
android.sensor.accelerometer,1524780514087,933354592708,-5.851429,7.9104424,-0.41180268
android.sensor.accelerometer,1524780514107,933374584895,-5.803545,7.9391727,-0.59376204
android.sensor.accelerometer,1524780514127,933394575520,-5.861006,7.97748,-0.40222588
android.sensor.accelerometer,1524780514147,933414597395,-5.7843914,8.015787,-0.38307226
android.sensor.accelerometer,1524780514167,933434588020,-5.650316,8.00621,-0.6607997
android.sensor.accelerometer,1524780514187,933454578645,-5.2959743,7.97748,-0.8619126
android.sensor.accelerometer,1524780514207,933474600520,-4.8362875,8.025364,-1.2066777
android.sensor.accelerometer,1524780514227,933494592708,-4.6160207,7.833828,-0.40222588
android.sensor.accelerometer,1524780514247,933514583333,-4.8937483,7.5465236,0.15322891
android.sensor.accelerometer,1524780514267,933534573958,-5.9280434,7.3645644,-0.47884035
android.sensor.accelerometer,1524780514287,933554595833,-7.1730285,6.8665705,-1.2641385
android.sensor.accelerometer,1524780514307,933574588020,-8.743625,6.3111157,-1.5035586
android.sensor.accelerometer,1524780514327,933594578645,-10.113108,5.6120086,-1.0247183
android.sensor.accelerometer,1524780514347,933614600520,-12.392388,4.4244847,0.11492168
android.sensor.accelerometer,1524780514367,933634591145,-15.8304615,3.2465374,-0.15322891
android.sensor.accelerometer,1524780514387,933654581770,-19.13446,1.9440918,-0.842759
android.sensor.accelerometer,1524780514407,933674573958,-20.369867,0.90979666,-1.6184803
android.sensor.accelerometer,1524780514427,933694595833,-20.532673,0.019153614,-1.0247183
android.sensor.accelerometer,1524780514447,933714586458,-19.85272,-0.50757074,-0.91937345
android.sensor.accelerometer,1524780514467,933734577083,-18.26297,-0.62249243,-0.842759
android.sensor.accelerometer,1524780514487,933754598958,-15.68681,-0.63206923,-1.3790601
android.sensor.accelerometer,1524780514507,933774589583,-12.804191,0.06703765,-3.514688
android.sensor.accelerometer,1524780514527,933794581770,-9.710882,1.3982137,-5.631162
android.sensor.accelerometer,1524780514547,933814603645,-4.5394063,2.2601264,-7.4124484
android.sensor.accelerometer,1524780514567,933834594270,1.7142484,2.815581,-9.615114
android.sensor.accelerometer,1524780514587,933854584895,8.360553,3.7349546,-10.831368
android.sensor.accelerometer,1524780514607,933874577083,14.585477,4.644751,-10.965444
android.sensor.accelerometer,1524780514627,933894598958,19.37388,5.506664,-8.963891
android.sensor.accelerometer,1524780514647,933914588020,23.922863,6.157887,-6.943185
android.sensor.accelerometer,1524780514667,933934580208,27.188555,6.799533,-4.4436383
android.sensor.accelerometer,1524780514687,933954603645,26.882097,6.5218053,-0.6799533
android.sensor.accelerometer,1524780514707,933974594270,23.03222,5.7843914,-0.4309563
android.sensor.accelerometer,1524780514727,933994584895,17.554287,4.9224787,-1.8674773
android.sensor.accelerometer,1524780514747,934014575520,16.136919,4.6160207,-4.807557
android.sensor.accelerometer,1524780514767,934034598958,14.748282,3.2465374,-6.1866174
android.sensor.accelerometer,1524780514787,934054588020,11.932701,1.9440918,-7.73806
android.sensor.accelerometer,1524780514807,934074578645,6.6367273,2.0398598,-9.9790325
android.sensor.accelerometer,1524780514827,934094602083,1.5705963,1.9440918,-12.172121
android.sensor.accelerometer,1524780514847,934114592708,-3.821146,1.7621324,-14.298173
android.sensor.accelerometer,1524780514867,934134583333,-9.299079,1.2545617,-15.361198
android.sensor.accelerometer,1524780514887,934154573958,-14.12579,0.8810662,-15.964537
android.sensor.accelerometer,1524780514907,934174597395,-20.12087,1.5035586,-16.452953
android.sensor.accelerometer,1524780514927,934194588020,-20.762518,2.087744,-16.587029
android.sensor.accelerometer,1524780514947,934214578645,-18.53112,1.0055647,-13.857639
android.sensor.accelerometer,1524780514967,934234600520,-21.930887,0.076614454,-11.21444
android.sensor.accelerometer,1524780514987,934254592708,-26.24045,-0.16280572,-11.549629
android.sensor.accelerometer,1524780515007,934274581770,-27.418398,-0.35434186,-11.18571
android.sensor.accelerometer,1524780515027,934294573958,-26.24045,-0.61291564,-10.04607
android.sensor.accelerometer,1524780515047,934314595833,-23.769634,-1.2258313,-7.690176
android.sensor.accelerometer,1524780515067,934334586458,-21.068975,-1.9057846,-6.5984197
android.sensor.accelerometer,1524780515087,934354578645,-17.372328,-2.767697,-6.5696893
android.sensor.accelerometer,1524780515107,934374600520,-14.719552,-3.3518825,-7.517793
android.sensor.accelerometer,1524780515127,934394589583,-13.043611,-3.9264908,-8.389283
android.sensor.accelerometer,1524780515147,934414581770,-12.038046,-4.4436383,-9.490616
android.sensor.accelerometer,1524780515167,934434603645,-7.872135,-4.1659107,-13.263878
android.sensor.accelerometer,1524780515187,934454594270,-4.414908,-3.265691,-14.489709
android.sensor.accelerometer,1524780515207,934474584895,-2.0207062,-2.3654714,-13.455414
android.sensor.accelerometer,1524780515227,934494577083,-0.10534488,-0.81402856,-15.2367
android.sensor.accelerometer,1524780515247,934514598958,2.4133554,0.90979666,-18.301277
