Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780495773,915034584895,0.014992379,0.15652113,-0.23125613
android.sensor.gyroscope,1524780495787,915054575520,0.014992379,0.14261085,-0.2508911
android.sensor.gyroscope,1524780495807,915074598958,0.0021816615,0.16062266,-0.27597147
android.sensor.gyroscope,1524780495827,915094588020,0.002984513,0.14042918,-0.2838778
android.sensor.gyroscope,1524780495847,915114580208,-0.011990412,0.14561282,-0.29178414
android.sensor.gyroscope,1524780495867,915134602083,-0.038711403,0.18624409,-0.31578243
android.sensor.gyroscope,1524780495887,915154592708,-0.057805303,0.2080607,-0.3324154
android.sensor.gyroscope,1524780495907,915174583333,-0.067631505,0.20561723,-0.34824553
android.sensor.gyroscope,1524780495927,915194575520,-0.08670796,0.21024236,-0.350689
android.sensor.gyroscope,1524780495947,915214597395,-0.10634291,0.22333233,-0.354232
android.sensor.gyroscope,1524780495967,915234588020,-0.09925687,0.19252726,-0.34306192
android.sensor.gyroscope,1524780495987,915254578645,-0.10880382,0.20043361,-0.35669294
android.sensor.gyroscope,1524780496007,915274602083,-0.12107349,0.21788691,-0.36623988
android.sensor.gyroscope,1524780496027,915294591145,-0.11971214,0.20369738,-0.36323792
android.sensor.gyroscope,1524780496047,915314583333,-0.1126261,0.17589428,-0.35124752
android.sensor.gyroscope,1524780496067,915334573958,-0.1055226,0.14943509,-0.3455054
android.sensor.gyroscope,1524780496087,915354595833,-0.087807514,0.10035643,-0.33215362
android.sensor.gyroscope,1524780496107,915374586458,-0.06871361,0.034348078,-0.30161035
android.sensor.gyroscope,1524780496127,915394578645,-0.053721234,-0.053983033,-0.25197318
android.sensor.gyroscope,1524780496147,915414600520,-0.054262288,-0.12625712,-0.19825195
android.sensor.gyroscope,1524780496167,915434591145,-0.087807514,-0.15515977,-0.17261307
android.sensor.gyroscope,1524780496187,915454581770,-0.10716321,-0.16606808,-0.14997615
android.sensor.gyroscope,1524780496207,915474572395,-0.10716321,-0.21624629,-0.13552481
android.sensor.gyroscope,1524780496227,915494595833,-0.10608111,-0.24324654,-0.13144074
android.sensor.gyroscope,1524780496247,915514586458,-0.34524357,0.22142991,-0.41015238
android.sensor.gyroscope,1524780496267,915534577083,-0.71638787,0.871024,-0.75839794
android.sensor.gyroscope,1524780496287,915554598958,-1.0630102,1.3973455,-1.013373
android.sensor.gyroscope,1524780496307,915574591145,-1.4857116,1.8988484,-1.2380842
android.sensor.gyroscope,1524780496327,915594581770,-1.9408585,2.3136435,-1.4300704
android.sensor.gyroscope,1524780496347,915614603645,-2.305196,2.5877123,-1.5797848
android.sensor.gyroscope,1524780496367,915634594270,-2.5601711,2.7546182,-1.6796001
android.sensor.gyroscope,1524780496387,915654584895,-2.7529776,2.8399649,-1.7346827
android.sensor.gyroscope,1524780496407,915674575520,-2.8912425,2.906776,-1.7597805
android.sensor.gyroscope,1524780496427,915694598958,-2.9981441,2.991599,-1.7584192
android.sensor.gyroscope,1524780496447,915714588020,-3.0674162,3.0374138,-1.7126043
android.sensor.gyroscope,1524780496467,915734580208,-3.1055865,3.054588,-1.6335061
android.sensor.gyroscope,1524780496487,915754602083,-3.2940297,3.2133083,-1.5686146
android.sensor.gyroscope,1524780496507,915774592708,-3.6090093,3.4958246,-1.5173368
android.sensor.gyroscope,1524780496527,915794583333,-3.888262,3.744534,-1.4371564
android.sensor.gyroscope,1524780496547,915814575520,-4.310684,4.1476007,-1.3548118
android.sensor.gyroscope,1524780496567,915834597395,-5.113815,4.865908,-1.3651617
android.sensor.gyroscope,1524780496587,915854588020,-6.2567263,5.828841,-1.5170577
android.sensor.gyroscope,1524780496607,915874578645,-7.057396,6.6240654,-1.8053162
android.sensor.gyroscope,1524780496628,915894602083,-7.215296,7.1637564,-2.1554816
android.sensor.gyroscope,1524780496647,915914592708,-6.7623305,7.480359,-2.46718
android.sensor.gyroscope,1524780496667,915934583333,-5.937383,7.67889,-2.688348
android.sensor.gyroscope,1524780496687,915954573958,-4.83156,7.7988815,-2.8227909
android.sensor.gyroscope,1524780496707,915974595833,-3.6818244,7.8531613,-2.8140643
android.sensor.gyroscope,1524780496727,915994586458,-2.6136305,7.8547845,-2.6523418
android.sensor.gyroscope,1524780496747,916014578645,-1.7286788,7.7612524,-2.3578176
android.sensor.gyroscope,1524780496767,916034600520,-1.0747389,7.423374,-2.0142148
android.sensor.gyroscope,1524780496787,916054591145,-0.620674,6.8643103,-1.6937722
android.sensor.gyroscope,1524780496807,916074581770,-0.32833135,6.258908,-1.421623
android.sensor.gyroscope,1524780496827,916094573958,-0.19743164,5.5883174,-1.2386253
android.sensor.gyroscope,1524780496847,916114595833,-0.15243706,4.8746347,-1.1543608
android.sensor.gyroscope,1524780496867,916134586458,-0.14261085,4.1372333,-1.1153702
android.sensor.gyroscope,1524780496887,916154577083,-0.13662437,3.4808323,-1.0654536
android.sensor.gyroscope,1524780496907,916174598958,-0.15980235,2.853334,-1.0281036
android.sensor.gyroscope,1524780496927,916194591145,-0.20233601,2.1701946,-0.98801345
android.sensor.gyroscope,1524780496947,916214581770,-0.23097688,1.46852,-0.8922996
android.sensor.gyroscope,1524780496967,916234603645,-0.24843016,0.73958325,-0.7297571
android.sensor.gyroscope,1524780496987,916254594270,-0.21570525,-0.00572468,-0.46849874
android.sensor.gyroscope,1524780497007,916274584895,-0.10798352,-0.76712453,-0.08290314
android.sensor.gyroscope,1524780497027,916294577083,0.11506956,-1.540253,0.43577382
android.sensor.gyroscope,1524780497047,916314598958,0.4886922,-2.2356446,1.0308263
android.sensor.gyroscope,1524780497067,916334589583,0.9781872,-2.7829797,1.5923337
android.sensor.gyroscope,1524780497087,916354580208,1.4360744,-3.09768,1.9662181
android.sensor.gyroscope,1524780497107,916374602083,1.7725912,-3.1800423,2.131745
android.sensor.gyroscope,1524780497127,916394592708,1.9667592,-3.0979595,2.1445732
android.sensor.gyroscope,1524780497147,916414584895,2.061932,-2.9490478,2.1012018
android.sensor.gyroscope,1524780497167,916434575520,2.0491211,-2.74371,1.9877555
android.sensor.gyroscope,1524780497187,916454597395,1.9833921,-2.539454,1.8524925
android.sensor.gyroscope,1524780497207,916474589583,1.8694047,-2.3079188,1.6771393
android.sensor.gyroscope,1524780497227,916494578645,1.6888678,-2.0502033,1.4663384
android.sensor.gyroscope,1524780497247,916514602083,1.4878932,-1.8140428,1.2740903
android.sensor.gyroscope,1524780497267,916534592708,1.2789947,-1.5885115,1.0722779
android.sensor.gyroscope,1524780497288,916554583333,0.9495638,-1.2579985,0.7483099
android.sensor.gyroscope,1524780497308,916574573958,0.6051231,-0.94191927,0.46169195
android.sensor.gyroscope,1524780497328,916594595833,0.22225022,-0.58712876,0.14507176
android.sensor.gyroscope,1524780497348,916614588020,-0.17343336,-0.22743386,-0.21052161
android.sensor.gyroscope,1524780497367,916634578645,-0.63268185,0.14889404,-0.67031115
android.sensor.gyroscope,1524780497387,916654600520,-1.148095,0.617672,-1.2836199
android.sensor.gyroscope,1524780497408,916674591145,-1.5955975,1.1467336,-1.9323937
android.sensor.gyroscope,1524780497428,916694581770,-1.8715863,1.6697739,-2.463096
android.sensor.gyroscope,1524780497448,916714573958,-1.9539485,2.150839,-2.7832417
android.sensor.gyroscope,1524780497468,916734595833,-1.9138583,2.530169,-2.892063
android.sensor.gyroscope,1524780497487,916754586458,-1.808039,2.7919683,-2.840244
android.sensor.gyroscope,1524780497507,916774577083,-1.6915905,2.9763274,-2.7025201
android.sensor.gyroscope,1524780497528,916794600520,-1.596156,3.0840492,-2.5004458
android.sensor.gyroscope,1524780497548,916814591145,-1.5208799,3.1647706,-2.296731
android.sensor.gyroscope,1524780497568,916834581770,-1.4857116,3.1745794,-2.078303
android.sensor.gyroscope,1524780497588,916854603645,-1.4521663,3.1372292,-1.8593167
android.sensor.gyroscope,1524780497607,916874594270,-1.4377149,3.1042252,-1.6648695
android.sensor.gyroscope,1524780497627,916894584895,-1.4153398,3.051045,-1.4832506
android.sensor.gyroscope,1524780497647,916914577083,-1.4123379,2.9577746,-1.3228898
android.sensor.gyroscope,1524780497668,916934598958,-1.4268067,2.8410645,-1.1971737
android.sensor.gyroscope,1524780497687,916954589583,-1.4480648,2.7297997,-1.1063643
android.sensor.gyroscope,1524780497707,916974580208,-1.5045261,2.5972593,-1.0690142
android.sensor.gyroscope,1524780497727,916994602083,-1.5645131,2.4532697,-1.0619106
android.sensor.gyroscope,1524780497747,917014594270,-1.5983377,2.3005533,-1.0452777
android.sensor.gyroscope,1524780497767,917034584895,-1.6261407,2.2078414,-1.0744596
android.sensor.gyroscope,1524780497787,917054575520,-1.6566839,2.137208,-1.1322824
android.sensor.gyroscope,1524780497807,917074597395,-1.6430529,2.1066647,-1.1895466
android.sensor.gyroscope,1524780497827,917094588020,-1.6057029,2.0837486,-1.2023573
android.sensor.gyroscope,1524780497847,917114580208,-1.5506029,2.156843,-1.2879832
android.sensor.gyroscope,1524780497867,917134602083,-1.4368947,2.378011,-1.4379767
android.sensor.gyroscope,1524780497887,917154592708,-1.2945281,2.605986,-1.5391535
android.sensor.gyroscope,1524780497907,917174583333,-1.1603647,2.7338836,-1.5609701
android.sensor.gyroscope,1524780497927,917194573958,-0.9299289,3.136409,-1.7472316
android.sensor.gyroscope,1524780497947,917214597395,-0.26888543,4.5171213,-2.3839977
android.sensor.gyroscope,1524780497967,917234588020,0.49631926,5.970928,-2.882516
android.sensor.gyroscope,1524780497987,917254578645,1.2230918,7.185573,-3.1854877
android.sensor.gyroscope,1524780498007,917274600520,1.7330421,7.9567814,-3.2160308
android.sensor.gyroscope,1524780498027,917294592708,1.9528489,8.213956,-3.0273259
android.sensor.gyroscope,1524780498048,917314581770,1.8145839,7.9270587,-2.6359882
android.sensor.gyroscope,1524780498067,917334573958,1.5585092,7.46973,-2.2326427
android.sensor.gyroscope,1524780498087,917354595833,1.4137167,7.137297,-1.9094949
android.sensor.gyroscope,1524780498107,917374586458,1.0703756,6.5504303,-1.5456985
android.sensor.gyroscope,1524780498127,917394577083,0.7425678,5.9542956,-1.2301779
android.sensor.gyroscope,1524780498147,917414600520,0.5309466,5.4399643,-0.9580112
android.sensor.gyroscope,1524780498167,917434591145,0.39214057,5.05299,-0.75565773
android.sensor.gyroscope,1524780498187,917454581770,0.2912431,4.706647,-0.58794904
android.sensor.gyroscope,1524780498207,917474603645,0.17997836,4.372853,-0.45214498
android.sensor.gyroscope,1524780498227,917494594270,0.008988446,3.966802,-0.3596949
android.sensor.gyroscope,1524780498247,917514586458,-0.12952088,3.6103706,-0.29806733
android.sensor.gyroscope,1524780498268,917534577083,-0.14889404,3.3619404,-0.2252522
android.sensor.gyroscope,1524780498287,917554598958,-0.19088666,3.0864925,-0.17589428
android.sensor.gyroscope,1524780498307,917574589583,-0.25225243,2.8075192,-0.14889404
