Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780590772,1010034584895,-2.384625,9.586384,-0.5650316
android.sensor.accelerometer,1524780590789,1010054577083,-2.6144683,9.481039,-0.39264908
android.sensor.accelerometer,1524780590807,1010074598958,-2.4037786,9.423578,-0.12449849
android.sensor.accelerometer,1524780590827,1010094589583,-2.4133554,9.490616,-0.22026655
android.sensor.accelerometer,1524780590847,1010114580208,-2.834735,9.442732,-0.22984336
android.sensor.accelerometer,1524780590867,1010134602083,-2.5570073,9.193734,-0.095768064
android.sensor.accelerometer,1524780590887,1010154594270,-2.384625,9.289502,0.2681506
android.sensor.accelerometer,1524780590907,1010174584895,-2.0111294,9.509769,0.32561144
android.sensor.accelerometer,1524780590927,1010194575520,-2.1643584,9.548077,-0.21068975
android.sensor.accelerometer,1524780590947,1010214597395,-2.2505496,9.241618,-0.36391866
android.sensor.accelerometer,1524780590967,1010234588020,-2.7868507,8.762778,-0.6895301
android.sensor.accelerometer,1524780590987,1010254578645,-4.2999864,8.255207,-1.3790601
android.sensor.accelerometer,1524780591007,1010274602083,-3.217807,8.504205,1.8770541
android.sensor.accelerometer,1524780591027,1010294592708,-0.6512229,9.299079,3.4284968
android.sensor.accelerometer,1524780591047,1010314583333,0.8523358,11.013328,3.217807
android.sensor.accelerometer,1524780591067,1010334573958,2.777274,12.890382,1.7142484
android.sensor.accelerometer,1524780591087,1010354595833,5.497087,14.269443,2.1930888
android.sensor.accelerometer,1524780591107,1010374588020,8.073248,14.5088625,3.4093432
android.sensor.accelerometer,1524780591127,1010394578645,8.274361,13.321339,3.916914
android.sensor.accelerometer,1524780591147,1010414600520,5.554548,11.3964,4.357447
android.sensor.accelerometer,1524780591167,1010434592708,2.930503,9.126697,3.074155
android.sensor.accelerometer,1524780591187,1010454583333,-1.1300632,6.5505357,1.3215994
android.sensor.accelerometer,1524780591207,1010474573958,-4.4819455,2.5570073,0.02873042
android.sensor.accelerometer,1524780591227,1010494595833,-11.166556,-1.3215994,-2.2601264
android.sensor.accelerometer,1524780591247,1010514586458,-17.420212,-6.090849,-4.807557
android.sensor.accelerometer,1524780591267,1010534577083,-23.606829,-11.348516,-4.9320555
android.sensor.accelerometer,1524780591287,1010554600520,-30.042442,-16.85518,-1.2545617
android.sensor.accelerometer,1524780591307,1010574591145,-29.429527,-23.444023,1.5801731
android.sensor.accelerometer,1524780591327,1010594581770,-22.448034,-30.799011,4.462792
android.sensor.accelerometer,1524780591347,1010614603645,-13.196839,-36.506786,9.155427
android.sensor.accelerometer,1524780591367,1010634594270,-2.9400797,-39.178715,12.938266
android.sensor.accelerometer,1524780591387,1010654586458,7.0581064,-39.418137,13.388376
android.sensor.accelerometer,1524780591407,1010674577083,20.973207,-36.38229,-1.2354081
android.sensor.accelerometer,1524780591427,1010694598958,35.376724,-34.438198,-10.04607
android.sensor.accelerometer,1524780591447,1010714589583,38.929718,-37.79008,16.414646
android.sensor.accelerometer,1524780591467,1010734580208,55.92855,-32.4558,37.416584
android.sensor.accelerometer,1524780591487,1010754602083,57.633224,-21.911734,26.431986
android.sensor.accelerometer,1524780591507,1010774594270,48.152184,-9.423578,6.8665705
android.sensor.accelerometer,1524780591527,1010794584895,49.07156,1.9728222,-17.152061
android.sensor.accelerometer,1524780591547,1010814575520,45.863327,6.646304,-16.701952
android.sensor.accelerometer,1524780591567,1010834597395,38.192307,5.439626,-0.4405331
android.sensor.accelerometer,1524780591587,1010854588020,32.494106,5.4683566,8.762778
android.sensor.accelerometer,1524780591607,1010874580208,32.082302,5.8322754,7.1251445
android.sensor.accelerometer,1524780591627,1010894602083,33.633747,5.2289367,-0.7182605
android.sensor.accelerometer,1524780591647,1010914592708,34.629734,2.1452048,-1.6089035
android.sensor.accelerometer,1524780591667,1010934583333,35.855564,-3.0933087,6.7133417
android.sensor.accelerometer,1524780591687,1010954573958,36.11414,-8.762778,17.946936
android.sensor.accelerometer,1524780591707,1010974597395,34.93619,-13.742718,22.754494
android.sensor.accelerometer,1524780591727,1010994588020,33.26025,-17.688362,22.70661
android.sensor.accelerometer,1524780591747,1011014578645,30.77028,-20.791248,19.325996
android.sensor.accelerometer,1524780591767,1011034600520,26.431986,-23.252487,13.455414
android.sensor.accelerometer,1524780591787,1011054592708,19.000385,-25.04335,9.624691
android.sensor.accelerometer,1524780591807,1011074581770,12.488156,-26.192566,8.39886
android.sensor.accelerometer,1524780591827,1011094573958,7.843405,-26.700138,8.130709
android.sensor.accelerometer,1524780591847,1011114595833,3.620033,-26.652254,8.169016
android.sensor.accelerometer,1524780591867,1011134586458,-1.5227122,-25.79034,8.034941
android.sensor.accelerometer,1524780591887,1011154578645,-6.3111157,-24.612394,6.5218053
android.sensor.accelerometer,1524780591907,1011174600520,-12.287044,-22.831108,5.1523223
android.sensor.accelerometer,1524780591927,1011194591145,-16.692375,-21.059399,6.1387334
android.sensor.accelerometer,1524780591947,1011214581770,-19.871874,-20.015526,8.264784
android.sensor.accelerometer,1524780591967,1011234603645,-22.811954,-18.741812,12.239159
android.sensor.accelerometer,1524780591987,1011254595833,-23.348255,-17.659632,13.905523
android.sensor.accelerometer,1524780592007,1011274584895,-22.390574,-17.60217,11.022904
android.sensor.accelerometer,1524780592027,1011294577083,-21.164743,-19.16319,5.3438582
android.sensor.accelerometer,1524780592047,1011314598958,-18.540697,-22.725763,0.842759
android.sensor.accelerometer,1524780592067,1011334591145,-12.995727,-28.950687,0.7757214
android.sensor.accelerometer,1524780592087,1011354580208,-5.00867,-36.59298,4.2999864
android.sensor.accelerometer,1524780592107,1011374603645,2.6144683,-42.61679,9.816227
android.sensor.accelerometer,1524780592127,1011394594270,9.902418,-45.690945,15.610195
android.sensor.accelerometer,1524780592147,1011414584895,17.113754,-45.058876,6.445191
android.sensor.accelerometer,1524780592167,1011434577083,31.680077,-45.49941,-12.689269
android.sensor.accelerometer,1524780592187,1011454598958,46.495396,-53.601387,-13.005303
android.sensor.accelerometer,1524780592207,1011474589583,62.46951,-52.18402,53.98446
android.sensor.accelerometer,1524780592227,1011494580208,62.957928,-25.76161,35.807682
android.sensor.accelerometer,1524780592247,1011514602083,43.746853,-4.55856,-22.7928
android.sensor.accelerometer,1524780592267,1011534592708,41.908108,8.1402855,-37.857117
android.sensor.accelerometer,1524780592287,1011554583333,36.899437,4.8841715,-11.310209
android.sensor.accelerometer,1524780592307,1011574575520,30.233978,4.0222588,13.464991
android.sensor.accelerometer,1524780592327,1011594597395,27.906815,6.0238113,19.622877
android.sensor.accelerometer,1524780592347,1011614588020,27.236439,4.060566,3.2082303
android.sensor.accelerometer,1524780592367,1011634578645,23.817518,2.3942018,-5.353435
