Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780578887,998154595833,-0.002984513,-0.1510757,0.018256145
android.sensor.gyroscope,1524780578907,998174586458,-0.008726646,-0.26996753,0.046076693
android.sensor.gyroscope,1524780578927,998194577083,-0.008726646,-0.35859534,0.06517059
android.sensor.gyroscope,1524780578947,998214598958,-0.00572468,-0.34496433,0.06462954
android.sensor.gyroscope,1524780578967,998234591145,5.410521E-4,-0.3010693,0.060528018
android.sensor.gyroscope,1524780578987,998254581770,8.0285146E-4,-0.28033477,0.053162728
android.sensor.gyroscope,1524780579007,998274603645,0.014451326,-0.24570745,0.048799407
android.sensor.gyroscope,1524780579027,998294594270,0.038449604,-0.19524999,0.045814894
android.sensor.gyroscope,1524780579047,998314584895,0.06244788,-0.1628043,0.042812925
android.sensor.gyroscope,1524780579067,998334577083,0.08180358,-0.13416345,0.038449604
android.sensor.gyroscope,1524780579087,998354598958,0.09107128,-0.1338842,0.03544764
android.sensor.gyroscope,1524780579107,998374589583,0.0853466,-0.13906783,0.029722957
android.sensor.gyroscope,1524780579127,998394580208,0.07417649,-0.16144295,0.02617994
android.sensor.gyroscope,1524780579147,998414602083,0.057264253,-0.23069762,0.019355701
android.sensor.gyroscope,1524780579167,998434594270,0.044715334,-0.3504272,0.017715093
android.sensor.gyroscope,1524780579187,998454584895,0.040072758,-0.47260025,0.015812684
android.sensor.gyroscope,1524780579207,998474575520,0.04225442,-0.5934119,0.0051661744
android.sensor.gyroscope,1524780579227,998494598958,0.051539574,-0.28852037,-0.09653416
android.sensor.gyroscope,1524780579247,998514588020,-0.0035430184,1.0174571,-0.48813367
android.sensor.gyroscope,1524780579267,998534580208,-0.21652554,2.2113845,-1.063272
android.sensor.gyroscope,1524780579287,998554602083,-0.51595426,2.8841565,-1.7603216
android.sensor.gyroscope,1524780579307,998574592708,-0.9217433,3.0245857,-2.589894
android.sensor.gyroscope,1524780579327,998594583333,-1.4488851,2.5634522,-3.460377
android.sensor.gyroscope,1524780579347,998614575520,-2.0540257,1.8208671,-4.2973146
android.sensor.gyroscope,1524780579367,998634595833,-2.6867075,1.0414554,-5.115717
android.sensor.gyroscope,1524780579387,998654586458,-3.1205788,0.53232545,-5.962481
android.sensor.gyroscope,1524780579407,998674578645,-3.3796556,0.29260445,-7.106754
android.sensor.gyroscope,1524780579427,998694600520,-4.211689,-0.4897743,-8.086861
android.sensor.gyroscope,1524780579447,998714591145,8.298482,-4.205964,-2.5061705
android.sensor.gyroscope,1524780579467,998734581770,-8.920535,-6.0890174,1.0076483
android.sensor.gyroscope,1524780579487,998754573958,-7.5253534,-7.0325775,2.1118484
android.sensor.gyroscope,1524780579507,998774595833,-6.09174,-7.6461654,2.2959108
android.sensor.gyroscope,1524780579527,998794586458,-4.927815,-7.5643616,1.9675795
android.sensor.gyroscope,1524780579547,998814577083,-4.053248,-7.005036,1.5855094
android.sensor.gyroscope,1524780579567,998834600520,-3.3652043,-6.371534,1.2740903
android.sensor.gyroscope,1524780579587,998854591145,-2.8587794,-5.8454742,0.9975604
android.sensor.gyroscope,1524780579607,998874581770,-2.4876351,-5.3796983,0.7600211
android.sensor.gyroscope,1524780579627,998894603645,-2.180562,-4.8173704,0.59803706
android.sensor.gyroscope,1524780579647,998914595833,-1.880854,-4.1770616,0.5500405
android.sensor.gyroscope,1524780579667,998934584895,-1.6493361,-3.5479228,0.5516811
android.sensor.gyroscope,1524780579687,998954577083,-1.5176162,-3.0502245,0.5825036
android.sensor.gyroscope,1524780579707,998974598958,-1.463895,-2.6965337,0.5833065
android.sensor.gyroscope,1524780579727,998994589583,-1.4107147,-2.4139998,0.54785883
android.sensor.gyroscope,1524780579747,999014581770,-1.3365382,-2.15138,0.48949504
android.sensor.gyroscope,1524780579767,999034602083,-1.2522737,-1.913579,0.42432445
android.sensor.gyroscope,1524780579787,999054594270,-1.1739957,-1.731419,0.35479054
android.sensor.gyroscope,1524780579807,999074584895,-1.1221769,-1.606785,0.28687978
android.sensor.gyroscope,1524780579827,999094575520,-1.0826452,-1.5058875,0.23287928
android.sensor.gyroscope,1524780579847,999114598958,-1.0120118,-1.4014295,0.20015436
android.sensor.gyroscope,1524780579867,999134588020,-0.85138905,-1.2266349,0.23397884
android.sensor.gyroscope,1524780579887,999154580208,-0.66048497,-0.92284286,0.3215071
android.sensor.gyroscope,1524780579907,999174602083,-0.55686474,-0.6154904,0.42786747
android.sensor.gyroscope,1524780579927,999194592708,-0.67767644,-0.4423188,0.5582261
android.sensor.gyroscope,1524780579947,999214583333,-0.8851961,-0.2446079,0.81866413
android.sensor.gyroscope,1524780579967,999234573958,-1.0796432,0.2546959,1.1595443
android.sensor.gyroscope,1524780579987,999254597395,-1.3261709,1.0321877,1.4576117
android.sensor.gyroscope,1524780580007,999274588020,-1.6343263,1.8249512,1.5429758
android.sensor.gyroscope,1524780580027,999294578645,-1.8871373,2.3902807,1.514876
android.sensor.gyroscope,1524780580047,999314600520,-2.0373926,2.694352,1.4458832
android.sensor.gyroscope,1524780580067,999334591145,-2.1066647,2.9250495,1.3253506
android.sensor.gyroscope,1524780580087,999354583333,-2.1320243,2.922327,1.2350823
android.sensor.gyroscope,1524780580107,999374573958,-2.0562072,2.5514445,1.2028984
android.sensor.gyroscope,1524780580127,999394595833,-1.7166884,2.070397,1.0201973
android.sensor.gyroscope,1524780580147,999414586458,-1.428709,1.2888035,0.95664984
android.sensor.gyroscope,1524780580167,999434578645,-1.2511742,0.07880162,1.0600083
android.sensor.gyroscope,1524780580187,999454600520,-0.93891734,-1.184363,1.0551039
android.sensor.gyroscope,1524780580207,999474591145,-0.49413761,-1.6834224,0.8669225
android.sensor.gyroscope,1524780580227,999494581770,-0.19116591,-1.7164091,0.620674
android.sensor.gyroscope,1524780580247,999514605208,0.014451326,-1.6215156,0.31305972
android.sensor.gyroscope,1524780580267,999534594270,0.1870644,-1.4884342,-0.029984757
android.sensor.gyroscope,1524780580287,999554586458,0.3706032,-1.34989,-0.39350194
android.sensor.gyroscope,1524780580307,999574577083,0.54349554,-1.211084,-0.7343996
android.sensor.gyroscope,1524780580327,999594598958,0.6645865,-1.1170107,-0.99591976
android.sensor.gyroscope,1524780580347,999614589583,0.7193898,-1.0305471,-1.2020955
android.sensor.gyroscope,1524780580367,999634580208,0.7283957,-0.96483546,-1.356435
android.sensor.gyroscope,1524780580387,999654603645,0.689405,-0.89938563,-1.4748032
android.sensor.gyroscope,1524780580407,999674594270,0.6294006,-0.8151211,-1.5536048
android.sensor.gyroscope,1524780580427,999694584895,0.60349995,-0.7363021,-1.5896109
android.sensor.gyroscope,1524780580447,999714575520,0.58548814,-0.6424906,-1.6114275
android.sensor.gyroscope,1524780580467,999734598958,0.58522636,-0.5620484,-1.6444143
android.sensor.gyroscope,1524780580487,999754588020,0.5797635,-0.49359655,-1.7011375
android.sensor.gyroscope,1524780580507,999774580208,0.54323375,-0.43577382,-1.8156835
android.sensor.gyroscope,1524780580527,999794602083,0.46687558,-0.34252086,-1.9667592
android.sensor.gyroscope,1524780580547,999814592708,0.462233,-0.22987731,-2.104745
android.sensor.gyroscope,1524780580567,999834584895,0.7873006,-0.13252285,-2.0968385
android.sensor.gyroscope,1524780580587,999854575520,1.2121835,-0.08806931,-2.051844
android.sensor.gyroscope,1524780580607,999874597395,-0.28087583,0.1134464,-2.998406
android.sensor.gyroscope,1524780580627,999894588020,-1.7578607,0.26670375,-3.7257195
android.sensor.gyroscope,1524780580647,999914578645,0.9105557,0.39296088,-2.4649982
android.sensor.gyroscope,1524780580667,999934600520,3.8759923,0.83065456,-0.08180358
android.sensor.gyroscope,1524780580687,999954592708,4.10751,1.1224562,0.48949504
android.sensor.gyroscope,1524780580707,999974583333,3.5601923,1.2795358,0.25961772
android.sensor.gyroscope,1524780580727,999994573958,3.1693957,1.4546098,0.11780973
android.sensor.gyroscope,1524780580747,1000014595833,3.2004974,1.6534202,0.33815753
android.sensor.gyroscope,1524780580767,1000034586458,3.2533984,1.8309551,0.50750685
android.sensor.gyroscope,1524780580787,1000054578645,3.3423054,1.9902164,0.5928534
android.sensor.gyroscope,1524780580807,1000074600520,3.5506454,2.1789215,0.73275906
android.sensor.gyroscope,1524780580827,1000094591145,3.8904436,2.4254491,0.9920975
android.sensor.gyroscope,1524780580847,1000114581770,4.190972,2.6692543,1.2904441
android.sensor.gyroscope,1524780580867,1000134603645,4.433677,2.9643195,1.6297011
android.sensor.gyroscope,1524780580887,1000154594270,4.468043,3.17622,1.8053162
android.sensor.gyroscope,1524780580907,1000174584895,4.387862,3.325655,1.8980455
android.sensor.gyroscope,1524780580927,1000194577083,4.2106066,3.3052173,1.893944
android.sensor.gyroscope,1524780580947,1000214598958,4.0426188,3.2214937,1.9018503
android.sensor.gyroscope,1524780580967,1000234589583,3.8383455,3.0627735,1.8653207
android.sensor.gyroscope,1524780580988,1000254580208,3.5874546,2.82307,1.781318
