Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780263997,683254584895,3.2273839,-6.4547677,-6.4739213
android.sensor.accelerometer,1524780264007,683274575520,3.3423057,-6.397307,-6.2345014
android.sensor.accelerometer,1524780264027,683294598958,3.3997664,-6.3685765,-6.339846
android.sensor.accelerometer,1524780264047,683314588020,3.217807,-6.3111157,-6.5505357
android.sensor.accelerometer,1524780264067,683334580208,3.1794999,-6.157887,-6.9240313
android.sensor.accelerometer,1524780264087,683354602083,3.3806129,-6.129156,-7.201759
android.sensor.accelerometer,1524780264107,683374592708,3.572149,-6.205771,-6.9719152
android.sensor.accelerometer,1524780264127,683394584895,3.5817258,-6.1195793,-6.8569937
android.sensor.accelerometer,1524780264147,683414573958,3.4380736,-6.0525417,-6.540959
android.sensor.accelerometer,1524780264167,683434597395,3.2848446,-6.042965,-6.5026517
android.sensor.accelerometer,1524780264187,683454588020,3.514688,-6.033388,-6.445191
android.sensor.accelerometer,1524780264207,683474578645,3.466804,-5.9663506,-6.6846113
android.sensor.accelerometer,1524780264227,683494600520,3.3327289,-5.8705826,-7.2209125
android.sensor.accelerometer,1524780264247,683514592708,3.2369606,-5.861006,-7.1251445
android.sensor.accelerometer,1524780264267,683534583333,3.3423057,-5.889736,-7.1251445
android.sensor.accelerometer,1524780264287,683554573958,3.1028855,-5.7843914,-7.297527
android.sensor.accelerometer,1524780264307,683574595833,2.719813,-5.7748146,-7.326257
android.sensor.accelerometer,1524780264327,683594586458,2.7006595,-5.8226986,-7.1155677
android.sensor.accelerometer,1524780264347,683614578645,2.767697,-5.717354,-6.943185
android.sensor.accelerometer,1524780264367,683634600520,2.9113493,-5.602432,-7.029376
android.sensor.accelerometer,1524780264387,683654591145,2.6623523,-5.3247046,-6.483498
android.sensor.accelerometer,1524780264407,683674581770,2.6240451,-5.0757074,-6.5026517
android.sensor.accelerometer,1524780264427,683694603645,2.719813,-4.855441,-6.799533
android.sensor.accelerometer,1524780264447,683714594270,2.6431987,-4.999093,-6.6367273
android.sensor.accelerometer,1524780264467,683734586458,2.815581,-4.951209,-5.9184666
android.sensor.accelerometer,1524780264487,683754577083,2.9400797,-4.9703627,-5.305551
android.sensor.accelerometer,1524780264507,683774598958,4.0318356,-5.133168,-3.8402996
android.sensor.accelerometer,1524780264527,683794591145,4.2521024,-4.6351743,-1.4077905
android.sensor.accelerometer,1524780264547,683814581770,4.3957543,-4.721366,-1.982399
android.sensor.accelerometer,1524780264567,683834603645,4.3766007,-4.3766007,-2.2218192
android.sensor.accelerometer,1524780264587,683854594270,5.21936,-4.261679,-1.1300632
android.sensor.accelerometer,1524780264607,683874584895,6.5026517,-4.5681367,-0.7086837
android.sensor.accelerometer,1524780264627,683894577083,7.795521,-4.721366,-0.4405331
android.sensor.accelerometer,1524780264647,683914598958,9.155427,-4.999093,1.1109096
android.sensor.accelerometer,1524780264667,683934589583,11.856087,-5.4683566,-0.4309563
android.sensor.accelerometer,1524780264687,683954580208,13.43626,-6.9048777,-0.038307227
android.sensor.accelerometer,1524780264707,683974602083,15.227123,-8.456321,1.3503298
android.sensor.accelerometer,1524780264727,683994592708,16.903065,-10.275913,-0.076614454
android.sensor.accelerometer,1524780264747,684014584895,17.343597,-12.737153,-2.6527755
android.sensor.accelerometer,1524780264767,684034575520,18.033127,-14.441825,-3.4380736
android.sensor.accelerometer,1524780264787,684054597395,19.718645,-15.907076,-5.7843914
android.sensor.accelerometer,1524780264807,684074588020,20.456059,-18.167202,-5.592855
android.sensor.accelerometer,1524780264827,684094580208,20.858286,-20.63802,-5.851429
android.sensor.accelerometer,1524780264847,684114602083,20.30283,-22.10327,-6.9527617
android.sensor.accelerometer,1524780264867,684134592708,21.212627,-24.449587,-5.544971
android.sensor.accelerometer,1524780264887,684154583333,26.987442,-27.53332,-7.642292
android.sensor.accelerometer,1524780264907,684174573958,28.64423,-30.779858,-5.6790466
