Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780277267,696534595833,-0.15788248,-0.10770427,0.13062043
android.sensor.gyroscope,1524780277287,696554586458,-0.15489797,-0.10716321,0.13007939
android.sensor.gyroscope,1524780277307,696574578645,-0.14234905,-0.11725122,0.11070623
android.sensor.gyroscope,1524780277327,696594600520,-0.13416345,-0.11753047,0.080721475
android.sensor.gyroscope,1524780277347,696614592708,-0.1227141,-0.11534881,0.061627574
android.sensor.gyroscope,1524780277367,696634581770,-0.11807153,-0.13716543,0.03080506
android.sensor.gyroscope,1524780277387,696654573958,-0.12461651,-0.14835298,0.028902652
android.sensor.gyroscope,1524780277407,696674595833,-0.10988593,-0.1510757,0.017994344
android.sensor.gyroscope,1524780277427,696694586458,-0.11152654,-0.13744467,0.048258353
android.sensor.gyroscope,1524780277448,696714577083,-0.1055226,-0.13634512,0.06270968
android.sensor.gyroscope,1524780277468,696734598958,-0.10662217,-0.13906783,0.07853982
android.sensor.gyroscope,1524780277488,696754591145,-0.10662217,-0.14070845,0.07553785
android.sensor.gyroscope,1524780277508,696774581770,-0.10608111,-0.1308997,0.072797686
android.sensor.gyroscope,1524780277528,696794603645,-0.108524576,-0.11616912,0.08344419
android.sensor.gyroscope,1524780277548,696814594270,-0.09679596,-0.12980014,0.055623643
android.sensor.gyroscope,1524780277567,696834584895,-0.09843657,-0.11917108,0.059986968
android.sensor.gyroscope,1524780277587,696854577083,-0.087807514,-0.11152654,0.054803338
android.sensor.gyroscope,1524780277607,696874598958,-0.10115928,-0.09843657,0.079080865
android.sensor.gyroscope,1524780277627,696894589583,-0.10089748,-0.07716101,0.10007718
android.sensor.gyroscope,1524780277647,696914580208,-0.11398745,-0.06462954,0.1227141
android.sensor.gyroscope,1524780277668,696934602083,-0.12897983,-0.03981096,0.16224581
android.sensor.gyroscope,1524780277688,696954594270,-0.1412495,-0.0283616,0.1868026
android.sensor.gyroscope,1524780277707,696974584895,-0.1603434,-0.017174039,0.20097466
android.sensor.gyroscope,1524780277728,696994575520,-0.15926129,-0.016894788,0.17697638
android.sensor.gyroscope,1524780277747,697014598958,-0.12243485,-0.045814894,0.07771951
android.sensor.gyroscope,1524780277768,697034588020,-0.017715093,-0.1794373,-0.24843016
android.sensor.gyroscope,1524780277788,697054580208,0.16798794,-0.40196678,-0.8369377
android.sensor.gyroscope,1524780277808,697074602083,0.3981445,-0.712583,-1.5167959
android.sensor.gyroscope,1524780277827,697094592708,0.61384976,-1.0136523,-2.1374698
android.sensor.gyroscope,1524780277847,697114583333,0.8183849,-1.295907,-2.7167096
android.sensor.gyroscope,1524780277867,697134573958,1.0469183,-1.599699,-3.3619404
android.sensor.gyroscope,1524780277887,697154597395,1.4996043,-2.0842896,-4.345311
android.sensor.gyroscope,1524780277907,697174588020,1.9381183,-2.3905425,-4.971186
android.sensor.gyroscope,1524780277927,697194578645,2.3733685,-2.4660804,-5.1669774
android.sensor.gyroscope,1524780277947,697214600520,2.740167,-2.318286,-5.0358157
android.sensor.gyroscope,1524780277967,697234591145,2.962958,-2.0592093,-4.727381
android.sensor.gyroscope,1524780277987,697254583333,3.0008667,-1.7573197,-4.324315
android.sensor.gyroscope,1524780278007,697274573958,2.9528701,-1.4524281,-3.8972504
android.sensor.gyroscope,1524780278027,697294595833,2.8418846,-1.1835426,-3.4914613
android.sensor.gyroscope,1524780278047,697314586458,2.6823442,-0.9659176,-3.1467588
android.sensor.gyroscope,1524780278067,697334578645,2.4693615,-0.77120864,-2.8143435
android.sensor.gyroscope,1524780278087,697354600520,2.246553,-0.5795017,-2.481352
