Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524780605428,1024694595833,1.0821792,9.260772,3.6391866
android.sensor.accelerometer,1524780605447,1024714586458,1.2449849,9.222465,3.715801
android.sensor.accelerometer,1524780605467,1024734578645,1.2162545,9.251195,3.916914
android.sensor.accelerometer,1524780605487,1024754600520,1.0534488,9.356541,4.1659107
android.sensor.accelerometer,1524780605507,1024774591145,1.2545617,9.5385,3.9839516
android.sensor.accelerometer,1524780605527,1024794581770,1.4556746,9.672575,4.012682
android.sensor.accelerometer,1524780605547,1024814573958,1.3311762,9.662998,3.9743748
android.sensor.accelerometer,1524780605567,1024834595833,1.1779473,9.662998,3.5529952
android.sensor.accelerometer,1524780605587,1024854586458,1.0055647,9.56723,3.3423057
android.sensor.accelerometer,1524780605607,1024874577083,1.3503298,9.509769,3.5529952
android.sensor.accelerometer,1524780605627,1024894600520,1.2162545,9.624691,3.8881836
android.sensor.accelerometer,1524780605647,1024914591145,1.3120226,9.883265,3.9935284
android.sensor.accelerometer,1524780605667,1024934581770,0.7469909,10.093954,4.185065
android.sensor.accelerometer,1524780605687,1024954603645,-0.29688102,10.036493,4.6255975
android.sensor.accelerometer,1524780605707,1024974595833,-2.3080103,9.710882,5.707777
android.sensor.accelerometer,1524780605727,1024994584895,-5.1523223,8.350976,6.6079965
android.sensor.accelerometer,1524780605747,1025014577083,-8.944737,5.2863975,6.7803793
android.sensor.accelerometer,1524780605767,1025034598958,-12.899959,1.9057846,4.9416323
android.sensor.accelerometer,1524780605787,1025054589583,-16.127342,-1.3215994,2.5953147
android.sensor.accelerometer,1524780605807,1025074580208,-15.773001,-4.5681367,1.934515
android.sensor.accelerometer,1524780605827,1025094603645,-12.440272,-9.14585,2.4037786
android.sensor.accelerometer,1524780605847,1025114594270,-7.5848308,-14.135366,5.544971
android.sensor.accelerometer,1524780605867,1025134584895,-3.41892,-18.195932,6.7324953
android.sensor.accelerometer,1524780605887,1025154575520,0.06703765,-20.66675,4.462792
android.sensor.accelerometer,1524780605907,1025174597395,2.825158,-23.942017,-0.7182605
android.sensor.accelerometer,1524780605927,1025194588020,8.350976,-27.50459,-4.76925
android.sensor.accelerometer,1524780605947,1025214580208,11.712435,-31.565155,-6.435614
android.sensor.accelerometer,1524780605967,1025234602083,14.030022,-35.127728,-11.415554
android.sensor.accelerometer,1524780605987,1025254592708,16.596605,-39.695866,-14.729129
android.sensor.accelerometer,1524780606007,1025274583333,20.72421,-45.920788,-17.506403
android.sensor.accelerometer,1524780606027,1025294575520,25.617958,-52.80651,-17.51598
android.sensor.accelerometer,1524780606047,1025314597395,30.904356,-58.313175,-14.010868
android.sensor.accelerometer,1524780606067,1025334586458,33.89232,-60.33388,-9.500193
android.sensor.accelerometer,1524780606087,1025354578645,34.85,-59.136784,-2.1739352
android.sensor.accelerometer,1524780606107,1025374600520,36.516365,-53.543926,2.3175871
android.sensor.accelerometer,1524780606127,1025394591145,34.648888,-47.06043,-1.3311762
android.sensor.accelerometer,1524780606147,1025414581770,34.27539,-42.693405,-5.6215854
android.sensor.accelerometer,1524780606167,1025434573958,34.208355,-38.929718,-8.8777
android.sensor.accelerometer,1524780606187,1025454595833,33.997665,-38.019924,-6.5218053
android.sensor.accelerometer,1524780606207,1025474586458,33.95936,-35.90345,-3.2369606
android.sensor.accelerometer,1524780606227,1025494577083,34.782963,-33.68163,-2.777274
android.sensor.accelerometer,1524780606247,1025514600520,31.555578,-32.71437,-3.5338416
android.sensor.accelerometer,1524780606267,1025534591145,29.649794,-32.379185,0.49799395
