Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524780605428,1024694595833,0.06653195,-0.10826277,-0.04717625
android.sensor.gyroscope,1524780605447,1024714586458,0.074717544,-0.13552481,-0.059166662
android.sensor.gyroscope,1524780605467,1024734578645,0.0760789,-0.14042918,-0.062168628
android.sensor.gyroscope,1524780605487,1024754600520,0.07798131,-0.13362241,-0.059707712
android.sensor.gyroscope,1524780605507,1024774591145,0.06817256,-0.15515977,-0.07035422
android.sensor.gyroscope,1524780605527,1024794581770,0.06435029,-0.16006415,-0.07361799
android.sensor.gyroscope,1524780605547,1024814573958,0.067631505,-0.14643313,-0.06899287
android.sensor.gyroscope,1524780605567,1024834595833,0.06871361,-0.17697638,-0.07579965
android.sensor.gyroscope,1524780605587,1024854586458,0.07199483,-0.19907226,-0.07962192
android.sensor.gyroscope,1524780605607,1024874577083,0.07880162,-0.208881,-0.08398525
android.sensor.gyroscope,1524780605627,1024894600520,0.08098327,-0.21298252,-0.07962192
android.sensor.gyroscope,1524780605647,1024914591145,0.07880162,-0.24678956,-0.08970992
android.sensor.gyroscope,1524780605667,1024934581770,0.07826056,-0.27242845,-0.10279989
android.sensor.gyroscope,1524780605687,1024954603645,0.07225663,-0.29614747,-0.11616912
android.sensor.gyroscope,1524780605707,1024974595833,0.059986968,-0.32424727,-0.13880603
android.sensor.gyroscope,1524780605727,1024994584895,0.024260076,-0.4055098,-0.18298031
android.sensor.gyroscope,1524780605747,1025014577083,-0.0567232,0.012810716,-0.32506758
android.sensor.gyroscope,1524780605767,1025034598958,-0.13034119,0.26260224,-0.46033058
android.sensor.gyroscope,1524780605787,1025054589583,-0.1895253,0.57185715,-0.63268185
android.sensor.gyroscope,1524780605807,1025074580208,-0.26724482,0.8546528,-0.8592954
android.sensor.gyroscope,1524780605828,1025094603645,-0.38941786,0.9855525,-1.1232765
android.sensor.gyroscope,1524780605847,1025114594270,-0.5996777,0.9331927,-1.4202616
android.sensor.gyroscope,1524780605867,1025134584895,-0.914919,0.7586597,-1.7275968
android.sensor.gyroscope,1524780605888,1025154575520,-1.3261709,0.54105204,-2.0444787
android.sensor.gyroscope,1524780605908,1025174597395,-1.8055955,0.4456,-2.399269
android.sensor.gyroscope,1524780605928,1025194588020,-2.4568126,0.40414843,-2.8241522
android.sensor.gyroscope,1524780605947,1025214580208,-3.6275446,0.4055098,-3.37147
android.sensor.gyroscope,1524780605967,1025234602083,-5.5334964,0.50340533,-3.8339822
android.sensor.gyroscope,1524780605987,1025254592708,-8.356026,0.11016518,-2.2247362
android.sensor.gyroscope,1524780606007,1025274583333,7.9955106,-3.275477,4.764749
android.sensor.gyroscope,1524780606027,1025294575520,-8.713277,-5.1102543,5.782485
android.sensor.gyroscope,1524780606048,1025314597395,-7.7023473,-5.4890604,5.147081
android.sensor.gyroscope,1524780606067,1025334586458,-6.807866,-5.3644266,4.4451265
android.sensor.gyroscope,1524780606087,1025354578645,-6.0041943,-5.0251694,3.8514354
android.sensor.gyroscope,1524780606107,1025374600520,-5.250439,-4.630847,3.3534756
android.sensor.gyroscope,1524780606127,1025394591145,-4.5899367,-4.294592,2.9479659
android.sensor.gyroscope,1524780606147,1025414581770,-4.037435,-4.0202436,2.5920758
android.sensor.gyroscope,1524780606167,1025434573958,-3.5547295,-3.8050795,2.2735531
android.sensor.gyroscope,1524780606187,1025454595833,-3.1372292,-3.5871925,1.9776675
android.sensor.gyroscope,1524780606207,1025474586458,-2.7657883,-3.3499327,1.6948718
android.sensor.gyroscope,1524780606227,1025494577083,-2.431453,-3.1091294,1.4137167
android.sensor.gyroscope,1524780606247,1025514600520,-2.141292,-2.8683264,1.141009
android.sensor.gyroscope,1524780606267,1025534591145,-1.8898599,-2.612531,0.8969247
android.sensor.gyroscope,1524780606287,1025554581770,-1.6553227,-2.3504524,0.6828601
android.sensor.gyroscope,1524780606307,1025574603645,-1.4488851,-2.0722992,0.5107706
android.sensor.gyroscope,1524780606327,1025594594270,-1.2972683,-1.7867808,0.37442547
android.sensor.gyroscope,1524780606347,1025614586458,-1.1846422,-1.5337081,0.27214918
android.sensor.gyroscope,1524780606367,1025634577083,-1.1074637,-1.2626235,0.19470893
android.sensor.gyroscope,1524780606387,1025654598958,-1.1028212,-0.88357294,0.105260804
android.sensor.gyroscope,1524780606407,1025674589583,-1.1175518,-0.5132315,0.025359634
android.sensor.gyroscope,1524780606428,1025694580208,-1.0861882,-0.2552544,-0.028902652
android.sensor.gyroscope,1524780606447,1025714602083,-1.0321877,-0.029164452,-0.07307693
android.sensor.gyroscope,1524780606467,1025734594270,-0.93401295,0.17561503,-0.114807755
android.sensor.gyroscope,1524780606487,1025754584895,-0.83501786,0.37442547,-0.17153096
android.sensor.gyroscope,1524780606507,1025774575520,-0.7453079,0.53859115,-0.22961551
android.sensor.gyroscope,1524780606527,1025794598958,-0.6883055,0.67031115,-0.28115508
android.sensor.gyroscope,1524780606547,1025814589583,-0.62721896,0.7333001,-0.30979595
android.sensor.gyroscope,1524780606569,1025834580208,-0.5841268,0.7406654,-0.3228859
android.sensor.gyroscope,1524780606587,1025854602083,-0.5151339,0.62831855,-0.31333897
android.sensor.gyroscope,1524780606607,1025874592708,-0.4082325,0.43168974,-0.2956064
android.sensor.gyroscope,1524780606627,1025894583333,-0.2443461,0.18107791,-0.2727077
android.sensor.gyroscope,1524780606647,1025914573958,-0.08834857,-0.045814894,-0.24352579
android.sensor.gyroscope,1524780606667,1025934597395,0.10416125,-0.31660274,-0.20943952
android.sensor.gyroscope,1524780606687,1025954588020,0.35314992,-0.64603364,-0.1513375
android.sensor.gyroscope,1524780606707,1025974578645,0.7442084,-1.3577963,-0.0046251225
android.sensor.gyroscope,1524780606727,1025994602083,1.2140859,-2.2561,0.07689921
android.sensor.gyroscope,1524780606747,1026014591145,1.732501,-3.153042,0.10007718
android.sensor.gyroscope,1524780606767,1026034581770,2.3362803,-4.1268835,0.06244788
android.sensor.gyroscope,1524780606787,1026054573958,2.5473604,-4.5733037,-0.05071927
android.sensor.gyroscope,1524780606807,1026074595833,2.5574484,-4.688932,-0.16498597
